Region,Model,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,qwen3-235b-a22b,12,50.00%,2025-12-27 17:18:14,37.50%,25.00%,75.00%,25.00%,100.00%
上海外滩,qwen3-32b,11,45.83%,2025-12-27 17:21:17,25.00%,75.00%,25.00%,50.00%,75.00%
上海外滩,qwen3-8b,9,37.50%,2025-12-27 17:23:54,12.50%,25.00%,75.00%,25.00%,75.00%
上海外滩,qwen3-4b,8,33.33%,2025-12-27 17:25:54,25.00%,0.00%,25.00%,100.00%,25.00%
上海外滩,qwen3-1.7b,8,33.33%,2025-12-27 17:27:36,25.00%,0.00%,25.00%,100.00%,25.00%
伦敦大本钟,qwen3-235b-a22b,11,45.83%,2025-12-27 17:30:29,25.00%,25.00%,50.00%,50.00%,100.00%
伦敦大本钟,qwen3-32b,14,58.33%,2025-12-27 17:33:29,62.50%,50.00%,25.00%,50.00%,100.00%
伦敦大本钟,qwen3-8b,10,41.67%,2025-12-27 17:37:04,37.50%,25.00%,0.00%,75.00%,75.00%
伦敦大本钟,qwen3-4b,9,37.50%,2025-12-27 17:39:29,25.00%,25.00%,25.00%,100.00%,25.00%
伦敦大本钟,qwen3-1.7b,9,37.50%,2025-12-27 17:42:11,25.00%,25.00%,25.00%,100.00%,25.00%
北京天安门,qwen3-235b-a22b,12,50.00%,2025-12-27 17:45:49,12.50%,50.00%,50.00%,75.00%,100.00%
北京天安门,qwen3-32b,12,50.00%,2025-12-27 17:50:48,12.50%,25.00%,75.00%,75.00%,100.00%
北京天安门,qwen3-8b,10,41.67%,2025-12-27 17:54:52,0.00%,50.00%,50.00%,50.00%,100.00%
北京天安门,qwen3-4b,10,41.67%,2025-12-27 17:57:46,50.00%,0.00%,25.00%,100.00%,25.00%
北京天安门,qwen3-1.7b,10,41.67%,2025-12-27 18:02:50,50.00%,0.00%,25.00%,100.00%,25.00%
多伦多CN塔,qwen3-235b-a22b,9,37.50%,2025-12-27 18:06:49,12.50%,0.00%,50.00%,75.00%,75.00%
多伦多CN塔,qwen3-32b,12,50.00%,2025-12-27 18:12:52,25.00%,75.00%,75.00%,25.00%,75.00%
多伦多CN塔,qwen3-8b,10,41.67%,2025-12-27 18:17:23,25.00%,75.00%,25.00%,25.00%,75.00%
多伦多CN塔,qwen3-4b,9,37.50%,2025-12-27 18:20:08,25.00%,0.00%,50.00%,100.00%,25.00%
多伦多CN塔,qwen3-1.7b,9,37.50%,2025-12-27 18:24:21,25.00%,0.00%,50.00%,100.00%,25.00%
巴黎埃菲尔铁塔,qwen3-235b-a22b,9,37.50%,2025-12-27 18:28:26,12.50%,25.00%,75.00%,50.00%,50.00%
巴黎埃菲尔铁塔,qwen3-32b,10,41.67%,2025-12-27 18:33:22,0.00%,50.00%,25.00%,75.00%,100.00%
巴黎埃菲尔铁塔,qwen3-8b,9,37.50%,2025-12-27 18:38:43,12.50%,25.00%,25.00%,75.00%,75.00%
巴黎埃菲尔铁塔,qwen3-4b,10,41.67%,2025-12-27 18:41:31,37.50%,0.00%,50.00%,100.00%,25.00%
巴黎埃菲尔铁塔,qwen3-1.7b,10,41.67%,2025-12-27 18:45:29,37.50%,0.00%,50.00%,100.00%,25.00%
广州塔,qwen3-235b-a22b,11,45.83%,2025-12-27 18:48:57,12.50%,25.00%,50.00%,75.00%,100.00%
广州塔,qwen3-32b,9,37.50%,2025-12-27 18:52:16,12.50%,25.00%,50.00%,25.00%,100.00%
广州塔,qwen3-8b,8,33.33%,2025-12-27 18:57:08,25.00%,25.00%,25.00%,25.00%,75.00%
广州塔,qwen3-4b,10,41.67%,2025-12-27 18:59:25,37.50%,0.00%,50.00%,100.00%,25.00%
广州塔,qwen3-1.7b,9,37.50%,2025-12-27 19:03:04,25.00%,0.00%,50.00%,100.00%,25.00%
旧金山联合广场,qwen3-235b-a22b,11,45.83%,2025-12-27 19:07:58,25.00%,50.00%,75.00%,50.00%,50.00%
旧金山联合广场,qwen3-32b,11,45.83%,2025-12-27 19:13:37,25.00%,50.00%,100.00%,25.00%,50.00%
旧金山联合广场,qwen3-8b,8,33.33%,2025-12-27 19:19:00,0.00%,25.00%,50.00%,75.00%,50.00%
旧金山联合广场,qwen3-4b,9,37.50%,2025-12-27 19:22:26,25.00%,25.00%,25.00%,100.00%,25.00%
旧金山联合广场,qwen3-1.7b,9,37.50%,2025-12-27 19:26:31,25.00%,25.00%,25.00%,100.00%,25.00%
柏林勃兰登堡门,qwen3-235b-a22b,13,54.17%,2025-12-27 19:31:38,37.50%,75.00%,75.00%,0.00%,100.00%
柏林勃兰登堡门,qwen3-32b,11,45.83%,2025-12-27 19:41:08,25.00%,75.00%,25.00%,25.00%,100.00%
柏林勃兰登堡门,qwen3-8b,7,29.17%,2025-12-27 19:48:01,37.50%,50.00%,25.00%,0.00%,25.00%
柏林勃兰登堡门,qwen3-4b,7,29.17%,2025-12-27 19:52:52,12.50%,0.00%,25.00%,100.00%,25.00%
柏林勃兰登堡门,qwen3-1.7b,7,29.17%,2025-12-27 19:57:09,12.50%,0.00%,25.00%,100.00%,25.00%
武汉黄鹤楼,qwen3-235b-a22b,5,20.83%,2025-12-27 20:04:28,12.50%,25.00%,25.00%,0.00%,50.00%
武汉黄鹤楼,qwen3-32b,10,41.67%,2025-12-27 20:12:07,25.00%,50.00%,25.00%,100.00%,25.00%
武汉黄鹤楼,qwen3-8b,9,37.50%,2025-12-27 21:35:41,25.00%,50.00%,75.00%,25.00%,25.00%
武汉黄鹤楼,qwen3-4b,7,29.17%,2025-12-27 20:34:42,25.00%,0.00%,50.00%,75.00%,0.00%
武汉黄鹤楼,qwen3-1.7b,9,37.50%,2025-12-27 20:39:46,25.00%,0.00%,50.00%,100.00%,25.00%
