Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
伦敦大本钟,claude,context,Direct,22,91.67%,2026-03-22T14:09:52.613012,6,100.00%,100.00%,50.00%,100.00%,100.00%
上海外滩,claude,context,Direct,16,66.67%,2026-03-22T14:25:36.302145,8,100.00%,75.00%,75.00%,25.00%,25.00%
北京天安门,claude,context,Direct,20,83.33%,2026-03-22T14:30:48.728542,7,100.00%,50.00%,100.00%,50.00%,100.00%
多伦多CN塔,claude,context,Direct,18,75.00%,2026-03-22T14:38:55.018823,6,75.00%,100.00%,100.00%,75.00%,25.00%
巴黎埃菲尔铁塔,claude,context,Direct,19,79.17%,2026-03-22T14:42:58.278248,9,100.00%,75.00%,100.00%,50.00%,50.00%
广州塔,claude,context,Direct,19,79.17%,2026-03-22T14:44:55.009480,6,75.00%,100.00%,100.00%,75.00%,50.00%
旧金山联合广场,claude,context,Direct,15,62.50%,2026-03-22T14:52:33.939273,8,62.50%,25.00%,100.00%,50.00%,75.00%
柏林勃兰登堡门,claude,context,Direct,17,70.83%,2026-03-22T14:56:08.170036,9,87.50%,100.00%,75.00%,50.00%,25.00%
武汉黄鹤楼,claude,context,Direct,15,62.50%,2026-03-22T14:59:02.536815,5,62.50%,50.00%,100.00%,50.00%,50.00%
洛杉矶好莱坞,claude,context,Direct,16,66.67%,2026-03-22T15:01:42.365014,4,87.50%,75.00%,75.00%,25.00%,50.00%
纽约时代广场,claude,context,Direct,19,79.17%,2026-03-22T15:03:26.142133,7,75.00%,75.00%,75.00%,75.00%,100.00%
维也纳美泉宫,claude,context,Direct,16,66.67%,2026-03-22T15:05:50.347064,6,50.00%,75.00%,75.00%,75.00%,75.00%
罗马斗兽场,claude,context,Direct,20,83.33%,2026-03-22T15:07:52.416194,7,75.00%,100.00%,100.00%,75.00%,75.00%
芝加哥千禧公园,claude,context,Direct,17,70.83%,2026-03-22T15:10:13.628414,4,50.00%,100.00%,75.00%,75.00%,75.00%
长沙五一广场,claude,context,Direct,15,62.50%,2026-03-22T15:12:43.854084,11,62.50%,100.00%,75.00%,25.00%,50.00%
