Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,qwen,context,Direct,15,62.50%,2026-03-22T18:24:34.822518,0,62.50%,75.00%,75.00%,25.00%,75.00%
伦敦大本钟,qwen,context,Direct,18,75.00%,2026-03-22T18:27:09.878796,0,75.00%,75.00%,100.00%,50.00%,75.00%
北京天安门,qwen,context,Direct,10,41.67%,2026-03-22T18:30:31.329318,0,12.50%,50.00%,50.00%,25.00%,100.00%
多伦多CN塔,qwen,context,Direct,19,79.17%,2026-03-22T18:34:28.758649,0,62.50%,100.00%,100.00%,50.00%,100.00%
巴黎埃菲尔铁塔,qwen,context,Direct,16,66.67%,2026-03-22T18:38:48.210346,0,50.00%,75.00%,75.00%,75.00%,75.00%
广州塔,qwen,context,Direct,14,58.33%,2026-03-22T18:41:28.625024,0,62.50%,25.00%,75.00%,25.00%,100.00%
旧金山联合广场,qwen,context,Direct,10,41.67%,2026-03-22T18:44:49.742862,0,25.00%,50.00%,75.00%,25.00%,50.00%
柏林勃兰登堡门,qwen,context,Direct,13,54.17%,2026-03-22T18:49:12.306803,0,37.50%,100.00%,50.00%,25.00%,75.00%
武汉黄鹤楼,qwen,context,Direct,9,37.50%,2026-03-22T18:52:46.219295,0,12.50%,50.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,qwen,context,Direct,14,58.33%,2026-03-22T18:56:01.351193,0,37.50%,100.00%,75.00%,0.00%,100.00%
纽约时代广场,qwen,context,Direct,11,45.83%,2026-03-22T19:01:16.678337,0,12.50%,50.00%,75.00%,25.00%,100.00%
维也纳美泉宫,qwen,context,Direct,17,70.83%,2026-03-22T19:05:03.250342,1,50.00%,100.00%,100.00%,25.00%,100.00%
罗马斗兽场,qwen,context,Direct,16,66.67%,2026-03-22T19:08:47.585101,0,50.00%,100.00%,50.00%,50.00%,100.00%
芝加哥千禧公园,qwen,context,Direct,11,45.83%,2026-03-22T19:12:16.756542,0,37.50%,75.00%,25.00%,25.00%,75.00%
长沙五一广场,qwen,context,Direct,16,66.67%,2026-03-22T19:16:48.853075,0,75.00%,75.00%,50.00%,50.00%,75.00%
