Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,13,54.17%,2026-03-19T18:49:21.534075,0,50.00%,25.00%,100.00%,25.00%,75.00%
伦敦大本钟,deepseek,context,Direct,15,62.50%,2026-03-19T18:54:14.465388,0,50.00%,0.00%,100.00%,75.00%,100.00%
多伦多CN塔,deepseek,context,Direct,18,75.00%,2026-03-19T19:16:03.738790,0,62.50%,100.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,deepseek,context,Direct,15,62.50%,2026-03-19T19:21:33.441967,0,50.00%,50.00%,100.00%,50.00%,75.00%
广州塔,deepseek,context,Direct,14,58.33%,2026-03-19T19:29:05.939763,0,75.00%,25.00%,100.00%,0.00%,75.00%
北京天安门,deepseek,context,Direct,13,54.17%,2026-03-19T19:59:50.848940,0,50.00%,25.00%,75.00%,25.00%,100.00%
旧金山联合广场,deepseek,context,Direct,10,41.67%,2026-03-19T21:34:13.482575,0,25.00%,50.00%,25.00%,50.00%,75.00%
柏林勃兰登堡门,deepseek,context,Direct,13,54.17%,2026-03-19T21:35:59.670457,0,50.00%,75.00%,50.00%,25.00%,75.00%
武汉黄鹤楼,deepseek,context,Direct,12,50.00%,2026-03-19T21:38:00.806759,0,62.50%,25.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,deepseek,context,Direct,14,58.33%,2026-03-19T21:39:56.260314,0,50.00%,50.00%,100.00%,0.00%,100.00%
纽约时代广场,deepseek,context,Direct,15,62.50%,2026-03-19T21:41:58.969003,0,50.00%,50.00%,50.00%,75.00%,100.00%
维也纳美泉宫,deepseek,context,Direct,14,58.33%,2026-03-19T21:43:58.360376,0,37.50%,75.00%,50.00%,75.00%,75.00%
罗马斗兽场,deepseek,context,Direct,14,58.33%,2026-03-19T21:45:56.733770,0,25.00%,50.00%,75.00%,75.00%,100.00%
芝加哥千禧公园,deepseek,context,Direct,12,50.00%,2026-03-19T21:47:55.945576,0,37.50%,50.00%,75.00%,25.00%,75.00%
长沙五一广场,deepseek,context,Direct,17,70.83%,2026-03-19T21:49:52.064041,0,75.00%,50.00%,100.00%,25.00%,100.00%
上海外滩,gemini,context,Direct,18,75.00%,2026-03-19T22:05:03.525436,0,100.00%,75.00%,75.00%,25.00%,75.00%
伦敦大本钟,gemini,context,Direct,19,79.17%,2026-03-19T22:19:34.681502,0,100.00%,75.00%,75.00%,25.00%,100.00%
北京天安门,gemini,context,Direct,21,87.50%,2026-03-19T22:28:30.399548,0,100.00%,100.00%,100.00%,25.00%,100.00%
多伦多CN塔,gemini,context,Direct,23,95.83%,2026-03-19T22:42:10.109510,0,100.00%,100.00%,100.00%,75.00%,100.00%
巴黎埃菲尔铁塔,gemini,context,Direct,23,95.83%,2026-03-19T22:52:36.085192,0,100.00%,100.00%,100.00%,75.00%,100.00%
