Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,14,58.33%,2026-03-19T18:50:05.973739,0,62.50%,25.00%,100.00%,25.00%,75.00%
伦敦大本钟,deepseek,context,Direct,15,62.50%,2026-03-19T18:54:57.217214,0,50.00%,0.00%,100.00%,75.00%,100.00%
多伦多CN塔,deepseek,context,Direct,17,70.83%,2026-03-19T19:16:53.698828,0,50.00%,100.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,deepseek,context,Direct,15,62.50%,2026-03-19T19:26:56.524886,0,50.00%,50.00%,100.00%,50.00%,75.00%
广州塔,deepseek,context,Direct,14,58.33%,2026-03-19T19:29:51.354498,0,75.00%,25.00%,100.00%,0.00%,75.00%
北京天安门,deepseek,context,Direct,13,54.17%,2026-03-19T20:00:48.336216,0,50.00%,25.00%,75.00%,25.00%,100.00%
旧金山联合广场,deepseek,context,Direct,10,41.67%,2026-03-19T21:35:04.755671,0,25.00%,50.00%,25.00%,50.00%,75.00%
柏林勃兰登堡门,deepseek,context,Direct,13,54.17%,2026-03-19T21:36:57.671272,0,50.00%,75.00%,50.00%,25.00%,75.00%
武汉黄鹤楼,deepseek,context,Direct,13,54.17%,2026-03-19T21:38:59.889855,0,75.00%,25.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,deepseek,context,Direct,14,58.33%,2026-03-19T21:40:58.079620,0,50.00%,50.00%,100.00%,0.00%,100.00%
纽约时代广场,deepseek,context,Direct,16,66.67%,2026-03-19T21:42:59.373954,0,50.00%,50.00%,75.00%,75.00%,100.00%
维也纳美泉宫,deepseek,context,Direct,14,58.33%,2026-03-19T21:44:56.466370,0,37.50%,75.00%,50.00%,75.00%,75.00%
罗马斗兽场,deepseek,context,Direct,14,58.33%,2026-03-19T21:46:57.511564,0,25.00%,50.00%,75.00%,75.00%,100.00%
芝加哥千禧公园,deepseek,context,Direct,12,50.00%,2026-03-19T21:48:52.732430,0,37.50%,50.00%,75.00%,25.00%,75.00%
长沙五一广场,deepseek,context,Direct,17,70.83%,2026-03-19T21:50:50.933164,0,75.00%,50.00%,100.00%,25.00%,100.00%
上海外滩,gemini,context,Direct,18,75.00%,2026-03-19T22:11:42.597236,0,100.00%,75.00%,75.00%,25.00%,75.00%
伦敦大本钟,gemini,context,Direct,20,83.33%,2026-03-19T22:22:34.250295,0,100.00%,100.00%,100.00%,25.00%,75.00%
北京天安门,gemini,context,Direct,23,95.83%,2026-03-19T22:39:23.149523,0,100.00%,100.00%,100.00%,75.00%,100.00%
多伦多CN塔,gemini,context,Direct,23,95.83%,2026-03-19T22:51:35.954487,0,100.00%,100.00%,100.00%,75.00%,100.00%
巴黎埃菲尔铁塔,gemini,context,Direct,22,91.67%,2026-03-19T23:06:51.664392,0,100.00%,100.00%,100.00%,75.00%,75.00%
广州塔,gemini,context,Direct,21,87.50%,2026-03-19T23:20:27.976273,0,100.00%,100.00%,100.00%,25.00%,100.00%
旧金山联合广场,gemini,context,Direct,18,75.00%,2026-03-19T23:43:16.150485,0,75.00%,75.00%,100.00%,50.00%,75.00%
柏林勃兰登堡门,gemini,context,Direct,17,70.83%,2026-03-19T23:54:57.011332,0,75.00%,75.00%,100.00%,50.00%,50.00%
武汉黄鹤楼,gemini,context,Direct,21,87.50%,2026-03-20T00:01:46.810252,0,100.00%,100.00%,50.00%,75.00%,100.00%
洛杉矶好莱坞,gemini,context,Direct,21,87.50%,2026-03-20T00:10:54.470838,0,100.00%,100.00%,100.00%,25.00%,100.00%
纽约时代广场,gemini,context,Direct,19,79.17%,2026-03-20T00:20:26.471721,0,100.00%,100.00%,100.00%,0.00%,75.00%
维也纳美泉宫,gemini,context,Direct,17,70.83%,2026-03-20T00:23:26.743058,0,50.00%,75.00%,75.00%,75.00%,100.00%
罗马斗兽场,gemini,context,Direct,22,91.67%,2026-03-20T00:36:48.078951,0,100.00%,100.00%,100.00%,50.00%,100.00%
芝加哥千禧公园,gemini,context,Direct,23,95.83%,2026-03-20T00:40:21.630172,0,100.00%,100.00%,100.00%,75.00%,100.00%
长沙五一广场,gemini,context,Direct,18,75.00%,2026-03-20T00:45:38.081935,0,75.00%,100.00%,75.00%,25.00%,100.00%
上海外滩,openai,context,Direct,17,70.83%,2026-03-20T00:47:01.009173,0,75.00%,75.00%,100.00%,25.00%,75.00%
伦敦大本钟,openai,context,Direct,17,70.83%,2026-03-20T00:48:16.857724,0,75.00%,75.00%,100.00%,25.00%,75.00%
北京天安门,openai,context,Direct,20,83.33%,2026-03-20T00:48:44.322535,0,62.50%,100.00%,100.00%,100.00%,75.00%
多伦多CN塔,openai,context,Direct,14,58.33%,2026-03-20T00:50:01.824643,0,12.50%,50.00%,100.00%,75.00%,100.00%
巴黎埃菲尔铁塔,openai,context,Direct,21,87.50%,2026-03-20T00:51:08.995766,0,87.50%,100.00%,100.00%,75.00%,75.00%
广州塔,openai,context,Direct,16,66.67%,2026-03-20T00:52:10.876704,0,62.50%,75.00%,75.00%,50.00%,75.00%
旧金山联合广场,openai,context,Direct,17,70.83%,2026-03-20T00:53:06.931022,0,100.00%,25.00%,75.00%,25.00%,100.00%
柏林勃兰登堡门,openai,context,Direct,17,70.83%,2026-03-20T00:54:20.035440,0,62.50%,50.00%,75.00%,100.00%,75.00%
武汉黄鹤楼,openai,context,Direct,21,87.50%,2026-03-20T00:55:09.232756,0,100.00%,100.00%,75.00%,50.00%,100.00%
洛杉矶好莱坞,openai,context,Direct,14,58.33%,2026-03-20T00:56:10.129833,0,75.00%,50.00%,50.00%,75.00%,25.00%
纽约时代广场,openai,context,Direct,18,75.00%,2026-03-20T00:57:29.157536,0,50.00%,100.00%,100.00%,100.00%,50.00%
维也纳美泉宫,openai,context,Direct,16,66.67%,2026-03-20T00:58:12.341487,0,37.50%,75.00%,75.00%,75.00%,100.00%
