region,file_name,compressed_bytes,compressed_bits,folder
上海外滩,评估报告_上海外滩_qwen_report.txt__上海外滩__summary_memory_50pct.txt,1657,13256,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
伦敦大本钟,评估报告_伦敦大本钟_qwen_report.txt__伦敦大本钟__summary_memory_50pct.txt,2142,17136,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
北京天安门,评估报告_北京天安门_qwen_report.txt__北京天安门__summary_memory_50pct.txt,3157,25256,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
多伦多CN塔,评估报告_多伦多CN塔_qwen_report.txt__多伦多CN塔__summary_memory_50pct.txt,2280,18240,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
巴黎埃菲尔铁塔,评估报告_巴黎埃菲尔铁塔_qwen_report.txt__巴黎埃菲尔铁塔__summary_memory_50pct.txt,2263,18104,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
广州塔,评估报告_广州塔_qwen_report.txt__广州塔__summary_memory_50pct.txt,677,5416,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
旧金山联合广场,评估报告_旧金山联合广场_qwen_report.txt__旧金山联合广场__summary_memory_50pct.txt,2328,18624,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
柏林勃兰登堡门,评估报告_柏林勃兰登堡门_qwen_report.txt__柏林勃兰登堡门__summary_memory_50pct.txt,2962,23696,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test
武汉黄鹤楼,评估报告_武汉黄鹤楼_qwen_report.txt__武汉黄鹤楼__summary_memory_50pct.txt,2813,22504,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
洛杉矶好莱坞,评估报告_洛杉矶好莱坞_qwen_report.txt__洛杉矶好莱坞__summary_memory_50pct.txt,2264,18112,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
纽约时代广场,评估报告_纽约时代广场_qwen_report.txt__纽约时代广场__summary_memory_50pct.txt,2229,17832,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
维也纳美泉宫,评估报告_维也纳美泉宫_qwen_report.txt__维也纳美泉宫__summary_memory_50pct.txt,2397,19176,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
罗马斗兽场,评估报告_罗马斗兽场_qwen_report.txt__罗马斗兽场__summary_memory_50pct.txt,2199,17592,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
芝加哥千禧公园,评估报告_芝加哥千禧公园_qwen_report.txt__芝加哥千禧公园__summary_memory_50pct.txt,2209,17672,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
长沙五一广场,评估报告_长沙五一广场_qwen_report.txt__长沙五一广场__summary_memory_50pct.txt,1549,12392,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\12压缩记忆\test\一次压缩
