Region,Eval Model,Source File,Context Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,评估报告_上海外滩_qwen_report.txt__上海外滩__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T13:06:51.563223,0,25.00%,0.00%,50.00%,75.00%,0.00%
上海外滩,qwen,评估报告_上海外滩_qwen_report.txt__上海外滩__summary_memory_50pct.txt,一次压缩,Direct,11,45.83%,2026-03-24T13:08:24.686507,0,37.50%,50.00%,75.00%,25.00%,50.00%
伦敦大本钟,deepseek,评估报告_伦敦大本钟_qwen_report.txt__伦敦大本钟__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T13:09:20.111222,0,50.00%,0.00%,75.00%,0.00%,75.00%
伦敦大本钟,qwen,评估报告_伦敦大本钟_qwen_report.txt__伦敦大本钟__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T13:10:33.620240,0,75.00%,25.00%,25.00%,0.00%,50.00%
北京天安门,deepseek,评估报告_北京天安门_qwen_report.txt__北京天安门__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T13:11:27.502374,0,0.00%,0.00%,75.00%,25.00%,75.00%
北京天安门,qwen,评估报告_北京天安门_qwen_report.txt__北京天安门__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T13:13:08.945622,0,37.50%,50.00%,25.00%,0.00%,50.00%
多伦多CN塔,deepseek,评估报告_多伦多CN塔_qwen_report.txt__多伦多CN塔__summary_memory_50pct.txt,一次压缩,Direct,11,45.83%,2026-03-24T13:14:04.761542,0,50.00%,25.00%,50.00%,25.00%,75.00%
巴黎埃菲尔铁塔,deepseek,评估报告_巴黎埃菲尔铁塔_qwen_report.txt__巴黎埃菲尔铁塔__summary_memory_50pct.txt,一次压缩,Direct,6,25.00%,2026-03-24T13:16:18.682302,0,25.00%,0.00%,50.00%,0.00%,50.00%
巴黎埃菲尔铁塔,qwen,评估报告_巴黎埃菲尔铁塔_qwen_report.txt__巴黎埃菲尔铁塔__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T13:18:05.537990,0,50.00%,25.00%,50.00%,0.00%,25.00%
广州塔,deepseek,评估报告_广州塔_qwen_report.txt__广州塔__summary_memory_50pct.txt,一次压缩,Direct,9,37.50%,2026-03-24T13:19:00.046415,0,37.50%,25.00%,75.00%,0.00%,50.00%
广州塔,qwen,评估报告_广州塔_qwen_report.txt__广州塔__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T13:20:28.821959,0,37.50%,25.00%,75.00%,0.00%,25.00%
旧金山联合广场,deepseek,评估报告_旧金山联合广场_qwen_report.txt__旧金山联合广场__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T13:21:23.538887,0,25.00%,25.00%,50.00%,50.00%,75.00%
