文件名,区域,覆盖率,覆盖道路长度_m,总道路长度_m,解析POI数,访问POI去重数,本地POI总数,访问POI覆盖率,缺失访问POI数,缺失访问POI示例,使用段数,未匹配POI数,无路可达段数,错误
评估报告_上海外滩_claude_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_claude_graph_report.txt.json,上海外滩,0.853673,3906.83,4576.49,10,9,9,1.000000,0,,9,0,0,
评估报告_上海外滩_claude_map_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_deepseek_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_deepseek_graph_report.txt.json,上海外滩,0.853673,3906.83,4576.49,11,9,9,1.000000,0,,10,0,0,
评估报告_上海外滩_deepseek_map_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_gemini_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_gemini_graph_report.txt.json,上海外滩,0.853673,3906.83,4576.49,12,9,9,1.000000,0,,11,0,0,
评估报告_上海外滩_gemini_map_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_openai_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_openai_graph_report.txt.json,上海外滩,0.853673,3906.83,4576.49,10,9,9,1.000000,0,,9,0,0,
评估报告_上海外滩_openai_map_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_qwen_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_qwen_graph_report.txt.json,上海外滩,0.853673,3906.83,4576.49,10,9,9,1.000000,0,,9,0,0,
评估报告_上海外滩_qwen_map_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_伦敦大本钟_claude_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_claude_graph_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,18,15,15,1.000000,0,,17,0,0,
评估报告_伦敦大本钟_claude_map_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_deepseek_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_deepseek_graph_report.txt.json,伦敦大本钟,0.487099,4906.27,10072.42,21,15,15,1.000000,0,,20,0,0,
评估报告_伦敦大本钟_deepseek_map_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_gemini_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_gemini_graph_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,19,15,15,1.000000,0,,18,0,0,
评估报告_伦敦大本钟_gemini_map_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_openai_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_openai_graph_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,18,15,15,1.000000,0,,17,0,0,
评估报告_伦敦大本钟_openai_map_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_qwen_context_report.txt.json,伦敦大本钟,0.457530,4608.43,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_qwen_graph_report.txt.json,伦敦大本钟,0.487099,4906.27,10072.42,17,15,15,1.000000,0,,16,0,0,
评估报告_伦敦大本钟_qwen_map_report.txt.json,伦敦大本钟,0.443264,4464.74,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_北京天安门_claude_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_claude_graph_report.txt.json,北京天安门,0.847848,6548.85,7724.09,23,21,21,1.000000,0,,22,0,0,
评估报告_北京天安门_claude_map_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_deepseek_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_deepseek_graph_report.txt.json,北京天安门,0.847848,6548.85,7724.09,23,21,21,1.000000,0,,22,0,0,
评估报告_北京天安门_deepseek_map_report.txt.json,北京天安门,0.907056,7006.18,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_gemini_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_gemini_graph_report.txt.json,北京天安门,0.847848,6548.85,7724.09,23,21,21,1.000000,0,,22,0,0,
评估报告_北京天安门_gemini_map_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_openai_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_openai_graph_report.txt.json,北京天安门,0.847848,6548.85,7724.09,23,21,21,1.000000,0,,22,0,0,
评估报告_北京天安门_openai_map_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_qwen_context_report.txt.json,北京天安门,0.907056,7006.18,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_qwen_graph_report.txt.json,北京天安门,0.907056,7006.18,7724.09,25,21,21,1.000000,0,,24,0,0,
评估报告_北京天安门_qwen_map_report.txt.json,北京天安门,0.907056,7006.18,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_多伦多CN塔_claude_context_report.txt.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_多伦多CN塔_claude_graph_report.txt.json,多伦多CN塔,0.794068,5839.70,7354.16,19,13,13,1.000000,0,,18,0,0,
评估报告_多伦多CN塔_claude_map_report.txt.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
