文件名,AI Thought次数
评估报告_上海外滩_claude_context_report.txt.json,36
评估报告_上海外滩_claude_graph_report.txt.json,36
评估报告_上海外滩_claude_map_report.txt.json,36
评估报告_上海外滩_deepseek_context_report.txt.json,30
评估报告_上海外滩_deepseek_graph_report.txt.json,30
评估报告_上海外滩_deepseek_map_report.txt.json,30
评估报告_上海外滩_gemini_context_report.txt.json,38
评估报告_上海外滩_gemini_graph_report.txt.json,38
评估报告_上海外滩_gemini_map_report.txt.json,37
评估报告_上海外滩_openai_context_report.txt.json,36
评估报告_上海外滩_openai_graph_report.txt.json,36
评估报告_上海外滩_openai_map_report.txt.json,36
评估报告_上海外滩_qwen_context_report.txt.json,38
评估报告_上海外滩_qwen_graph_report.txt.json,36
评估报告_上海外滩_qwen_map_report.txt.json,37
评估报告_伦敦大本钟_claude_context_report.txt.json,46
评估报告_伦敦大本钟_claude_graph_report.txt.json,42
评估报告_伦敦大本钟_claude_map_report.txt.json,48
评估报告_伦敦大本钟_deepseek_context_report.txt.json,45
评估报告_伦敦大本钟_deepseek_graph_report.txt.json,45
评估报告_伦敦大本钟_deepseek_map_report.txt.json,45
评估报告_伦敦大本钟_gemini_context_report.txt.json,46
评估报告_伦敦大本钟_gemini_graph_report.txt.json,46
评估报告_伦敦大本钟_gemini_map_report.txt.json,46
评估报告_伦敦大本钟_openai_context_report.txt.json,42
评估报告_伦敦大本钟_openai_graph_report.txt.json,42
评估报告_伦敦大本钟_openai_map_report.txt.json,42
评估报告_伦敦大本钟_qwen_context_report.txt.json,41
评估报告_伦敦大本钟_qwen_graph_report.txt.json,41
评估报告_伦敦大本钟_qwen_map_report.txt.json,46
评估报告_北京天安门_claude_context_report.txt.json,55
评估报告_北京天安门_claude_graph_report.txt.json,54
评估报告_北京天安门_claude_map_report.txt.json,46
评估报告_北京天安门_deepseek_context_report.txt.json,45
评估报告_北京天安门_deepseek_graph_report.txt.json,45
评估报告_北京天安门_deepseek_map_report.txt.json,45
