文件名,区域,覆盖率,覆盖道路长度_m,总道路长度_m,解析POI数,访问POI去重数,本地POI总数,访问POI覆盖率,缺失访问POI数,缺失访问POI示例,使用段数,未匹配POI数,无路可达段数,错误
评估报告_上海外滩_claude_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_deepseek_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_gemini_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_openai_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_上海外滩_qwen_context_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,8,0,0,
评估报告_伦敦大本钟_claude_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_deepseek_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_gemini_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_openai_context_report.txt.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_qwen_context_report.txt.json,伦敦大本钟,0.457530,4608.43,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_北京天安门_claude_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_deepseek_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_gemini_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_openai_context_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_qwen_context_report.txt.json,北京天安门,0.907056,7006.18,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_多伦多CN塔_claude_context_report.txt.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_多伦多CN塔_deepseek_context_report.txt.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_多伦多CN塔_gemini_context_report.txt.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_多伦多CN塔_openai_context_report.txt.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_多伦多CN塔_qwen_context_report.txt.json,多伦多CN塔,0.764589,5622.91,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_巴黎埃菲尔铁塔_claude_context_report.txt.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_巴黎埃菲尔铁塔_deepseek_context_report.txt.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_巴黎埃菲尔铁塔_gemini_context_report.txt.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_巴黎埃菲尔铁塔_openai_context_report.txt.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_巴黎埃菲尔铁塔_qwen_context_report.txt.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_广州塔_claude_context_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_广州塔_deepseek_context_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_广州塔_gemini_context_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_广州塔_openai_context_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_广州塔_qwen_context_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_旧金山联合广场_claude_context_report.txt.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_旧金山联合广场_deepseek_context_report.txt.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_旧金山联合广场_gemini_context_report.txt.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_旧金山联合广场_openai_context_report.txt.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_旧金山联合广场_qwen_context_report.txt.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_claude_context_report.txt.json,柏林勃兰登堡门,0.599458,7129.64,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_deepseek_context_report.txt.json,柏林勃兰登堡门,0.679631,8083.19,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_gemini_context_report.txt.json,柏林勃兰登堡门,0.599458,7129.64,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_openai_context_report.txt.json,柏林勃兰登堡门,0.599458,7129.64,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_qwen_context_report.txt.json,柏林勃兰登堡门,0.608624,7238.66,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_武汉黄鹤楼_claude_context_report.txt.json,武汉黄鹤楼,0.504838,4288.90,8495.60,20,20,20,1.000000,0,,19,0,0,
评估报告_武汉黄鹤楼_deepseek_context_report.txt.json,武汉黄鹤楼,0.504838,4288.90,8495.60,20,20,20,1.000000,0,,19,0,0,
