文件名,区域,覆盖率,覆盖道路长度_m,总道路长度_m,解析POI数,访问POI去重数,本地POI总数,访问POI覆盖率,缺失访问POI数,缺失访问POI示例,使用段数,未匹配POI数,无路可达段数,错误
评估报告_伦敦大本钟_anthropic_claude-3.5-sonnet_Direct.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_anthropic_claude-3.7-sonnet_Direct.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_伦敦大本钟_anthropic_claude-sonnet-4_Direct.json,伦敦大本钟,0.475542,4789.86,10072.42,15,15,15,1.000000,0,,14,0,0,
评估报告_北京天安门_anthropic_claude-3.5-sonnet_Direct.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_anthropic_claude-3.7-sonnet_Direct.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_北京天安门_anthropic_claude-sonnet-4_Direct.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,0,
评估报告_多伦多CN塔_anthropic_claude-3.5-sonnet_Direct.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_多伦多CN塔_anthropic_claude-3.7-sonnet_Direct.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_多伦多CN塔_anthropic_claude-sonnet-4_Direct.json,多伦多CN塔,0.660876,4860.18,7354.16,13,13,13,1.000000,0,,12,0,0,
评估报告_巴黎埃菲尔铁塔_anthropic_claude-3.5-sonnet_Direct.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_巴黎埃菲尔铁塔_anthropic_claude-3.7-sonnet_Direct.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_巴黎埃菲尔铁塔_anthropic_claude-sonnet-4_Direct.json,巴黎埃菲尔铁塔,0.579180,6724.66,11610.66,15,15,15,1.000000,0,,14,0,0,
评估报告_广州塔_anthropic_claude-3.5-sonnet_Direct.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_广州塔_anthropic_claude-3.7-sonnet_Direct.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_广州塔_anthropic_claude-sonnet-4_Direct.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,6,0,0,
评估报告_旧金山联合广场_anthropic_claude-3.5-sonnet_Direct.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_旧金山联合广场_anthropic_claude-3.7-sonnet_Direct.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_旧金山联合广场_anthropic_claude-sonnet-4_Direct.json,旧金山联合广场,0.440061,4028.73,9154.92,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_anthropic_claude-3.5-sonnet_Direct.json,柏林勃兰登堡门,0.599458,7129.64,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_anthropic_claude-3.7-sonnet_Direct.json,柏林勃兰登堡门,0.599458,7129.64,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_柏林勃兰登堡门_anthropic_claude-sonnet-4_Direct.json,柏林勃兰登堡门,0.599458,7129.64,11893.49,14,14,14,1.000000,0,,13,0,0,
评估报告_武汉黄鹤楼_anthropic_claude-3.5-sonnet_Direct.json,武汉黄鹤楼,0.504838,4288.90,8495.60,20,20,20,1.000000,0,,19,0,0,
评估报告_武汉黄鹤楼_anthropic_claude-3.7-sonnet_Direct.json,武汉黄鹤楼,0.504838,4288.90,8495.60,20,20,20,1.000000,0,,19,0,0,
评估报告_武汉黄鹤楼_anthropic_claude-sonnet-4_Direct.json,武汉黄鹤楼,0.504838,4288.90,8495.60,20,20,20,1.000000,0,,19,0,0,
评估报告_洛杉矶好莱坞_anthropic_claude-3.5-sonnet_Direct.json,洛杉矶好莱坞,0.612866,2469.61,4029.62,15,15,15,1.000000,0,,14,0,0,
评估报告_洛杉矶好莱坞_anthropic_claude-3.7-sonnet_Direct.json,洛杉矶好莱坞,0.612866,2469.61,4029.62,15,15,15,1.000000,0,,14,0,0,
评估报告_洛杉矶好莱坞_anthropic_claude-sonnet-4_Direct.json,洛杉矶好莱坞,0.612866,2469.61,4029.62,15,15,15,1.000000,0,,14,0,0,
评估报告_纽约时代广场_anthropic_claude-3.5-sonnet_Direct.json,纽约时代广场,0.543826,4357.61,8012.88,12,12,12,1.000000,0,,11,0,0,
评估报告_纽约时代广场_anthropic_claude-3.7-sonnet_Direct.json,纽约时代广场,0.543826,4357.61,8012.88,12,12,12,1.000000,0,,11,0,0,
评估报告_纽约时代广场_anthropic_claude-sonnet-4_Direct.json,纽约时代广场,0.543826,4357.61,8012.88,12,12,12,1.000000,0,,11,0,0,
评估报告_维也纳美泉宫_anthropic_claude-3.5-sonnet_Direct.json,维也纳美泉宫,0.742124,4774.43,6433.47,15,15,15,1.000000,0,,14,0,0,
评估报告_维也纳美泉宫_anthropic_claude-3.7-sonnet_Direct.json,维也纳美泉宫,0.742124,4774.43,6433.47,15,15,15,1.000000,0,,14,0,0,
评估报告_维也纳美泉宫_anthropic_claude-sonnet-4_Direct.json,维也纳美泉宫,0.742124,4774.43,6433.47,15,15,15,1.000000,0,,14,0,0,
评估报告_罗马斗兽场_anthropic_claude-3.5-sonnet_Direct.json,罗马斗兽场,0.706145,7574.79,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_罗马斗兽场_anthropic_claude-3.7-sonnet_Direct.json,罗马斗兽场,0.706145,7574.79,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_罗马斗兽场_anthropic_claude-sonnet-4_Direct.json,罗马斗兽场,0.706145,7574.79,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_芝加哥千禧公园_anthropic_claude-3.5-sonnet_Direct.json,芝加哥千禧公园,0.807643,4103.48,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_芝加哥千禧公园_anthropic_claude-3.7-sonnet_Direct.json,芝加哥千禧公园,0.807643,4103.48,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_芝加哥千禧公园_anthropic_claude-sonnet-4_Direct.json,芝加哥千禧公园,0.807643,4103.48,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_长沙五一广场_anthropic_claude-3.5-sonnet_Direct.json,长沙五一广场,0.754028,5675.63,7527.08,12,12,12,1.000000,0,,11,0,0,
评估报告_长沙五一广场_anthropic_claude-3.7-sonnet_Direct.json,长沙五一广场,0.754028,5675.63,7527.08,12,12,12,1.000000,0,,11,0,0,
