Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,qwen,context,Direct,11,45.83%,2026-03-30T19:19:54.713214,0,37.50%,75.00%,75.00%,0.00%,50.00%
伦敦大本钟,qwen,context,Direct,13,54.17%,2026-03-30T19:27:13.492302,2,37.50%,75.00%,75.00%,25.00%,75.00%
北京天安门,qwen,context,Direct,11,45.83%,2026-03-30T19:41:23.714992,0,12.50%,50.00%,75.00%,25.00%,100.00%
多伦多CN塔,qwen,context,Direct,15,62.50%,2026-03-30T19:49:36.868584,1,50.00%,100.00%,50.00%,25.00%,100.00%
巴黎埃菲尔铁塔,qwen,context,Direct,17,70.83%,2026-03-30T19:55:14.178744,1,50.00%,75.00%,100.00%,75.00%,75.00%
广州塔,qwen,context,Direct,12,50.00%,2026-03-30T20:14:32.594202,0,62.50%,25.00%,75.00%,0.00%,75.00%
旧金山联合广场,qwen,context,Direct,12,50.00%,2026-03-30T20:22:20.608895,0,12.50%,75.00%,100.00%,75.00%,25.00%
柏林勃兰登堡门,qwen,context,Direct,14,58.33%,2026-03-30T20:32:49.572029,1,37.50%,100.00%,50.00%,25.00%,100.00%
武汉黄鹤楼,qwen,context,Direct,9,37.50%,2026-03-30T20:48:04.474836,0,25.00%,75.00%,25.00%,25.00%,50.00%
洛杉矶好莱坞,qwen,context,Direct,13,54.17%,2026-03-30T20:54:34.957092,1,37.50%,75.00%,50.00%,25.00%,100.00%
纽约时代广场,qwen,context,Direct,13,54.17%,2026-03-30T21:09:29.097486,2,50.00%,25.00%,75.00%,25.00%,100.00%
维也纳美泉宫,qwen,context,Direct,10,41.67%,2026-03-30T21:19:41.210541,2,12.50%,50.00%,75.00%,25.00%,75.00%
罗马斗兽场,qwen,context,Direct,12,50.00%,2026-03-30T21:24:55.749488,1,25.00%,75.00%,25.00%,50.00%,100.00%
芝加哥千禧公园,qwen,context,Direct,12,50.00%,2026-03-30T21:37:17.172864,3,37.50%,75.00%,50.00%,25.00%,75.00%
长沙五一广场,qwen,context,Direct,15,62.50%,2026-03-30T21:50:24.873276,1,37.50%,75.00%,50.00%,75.00%,100.00%
