Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,claude,text,Direct,13,54.17%,2025-12-25T00:08:28.278750,75.00%,25.00%,100.00%,25.00%,25.00%
上海外滩,deepseek,text,Direct,11,45.83%,2025-12-25T00:09:23.258111,87.50%,50.00%,25.00%,25.00%,0.00%
上海外滩,gemini,text,Direct,20,83.33%,2025-12-25T00:19:48.686982,100.00%,100.00%,100.00%,50.00%,50.00%
上海外滩,openai,text,Direct,7,29.17%,2025-12-25T00:20:53.059623,25.00%,25.00%,50.00%,50.00%,0.00%
上海外滩,qwen,text,Direct,14,58.33%,2025-12-25T00:21:28.137462,62.50%,75.00%,75.00%,50.00%,25.00%
伦敦大本钟,claude,text,Direct,19,79.17%,2025-12-25T00:23:25.676896,100.00%,50.00%,100.00%,75.00%,50.00%
伦敦大本钟,deepseek,text,Direct,12,50.00%,2025-12-25T00:24:28.673517,50.00%,75.00%,100.00%,0.00%,25.00%
伦敦大本钟,gemini,text,Direct,22,91.67%,2025-12-25T00:32:25.213581,100.00%,100.00%,100.00%,75.00%,75.00%
伦敦大本钟,openai,text,Direct,8,33.33%,2025-12-25T00:33:30.218172,37.50%,0.00%,25.00%,25.00%,75.00%
伦敦大本钟,qwen,text,Direct,15,62.50%,2025-12-25T00:34:09.692480,50.00%,50.00%,75.00%,50.00%,100.00%
北京天安门,claude,text,Direct,20,83.33%,2025-12-25T00:37:15.266328,100.00%,75.00%,100.00%,25.00%,100.00%
北京天安门,deepseek,text,Direct,8,33.33%,2025-12-25T00:38:19.871969,37.50%,25.00%,75.00%,0.00%,25.00%
北京天安门,gemini,text,Direct,21,87.50%,2025-12-25T00:48:56.723893,100.00%,100.00%,100.00%,25.00%,100.00%
北京天安门,openai,text,Direct,20,83.33%,2025-12-25T00:50:12.899103,100.00%,50.00%,100.00%,75.00%,75.00%
北京天安门,qwen,text,Direct,15,62.50%,2025-12-25T00:50:58.079947,62.50%,50.00%,75.00%,25.00%,100.00%
多伦多CN塔,claude,text,Direct,17,70.83%,2025-12-25T00:52:58.039702,87.50%,50.00%,100.00%,75.00%,25.00%
多伦多CN塔,deepseek,text,Direct,10,41.67%,2025-12-25T00:54:05.061895,50.00%,25.00%,100.00%,0.00%,25.00%
多伦多CN塔,gemini,text,Direct,20,83.33%,2025-12-25T01:02:32.134001,100.00%,100.00%,100.00%,25.00%,75.00%
多伦多CN塔,openai,text,Direct,8,33.33%,2025-12-25T01:03:40.423358,37.50%,0.00%,50.00%,25.00%,50.00%
多伦多CN塔,qwen,text,Direct,17,70.83%,2025-12-25T01:04:17.811990,62.50%,75.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,claude,text,Direct,14,58.33%,2025-12-25T01:06:44.651157,75.00%,25.00%,75.00%,50.00%,50.00%
巴黎埃菲尔铁塔,deepseek,text,Direct,10,41.67%,2025-12-25T01:07:49.719795,37.50%,75.00%,50.00%,50.00%,0.00%
巴黎埃菲尔铁塔,gemini,text,Direct,19,79.17%,2025-12-25T01:17:24.283551,100.00%,100.00%,100.00%,25.00%,50.00%
巴黎埃菲尔铁塔,openai,text,Direct,11,45.83%,2025-12-25T01:18:31.142834,75.00%,25.00%,50.00%,25.00%,25.00%
巴黎埃菲尔铁塔,qwen,text,Direct,17,70.83%,2025-12-25T01:19:08.514942,75.00%,50.00%,50.00%,75.00%,100.00%
广州塔,claude,text,Direct,16,66.67%,2025-12-25T01:21:02.336760,87.50%,50.00%,75.00%,25.00%,75.00%
广州塔,deepseek,text,Direct,15,62.50%,2025-12-25T01:22:02.828348,75.00%,100.00%,75.00%,25.00%,25.00%
广州塔,gemini,text,Direct,18,75.00%,2025-12-25T01:31:27.458304,100.00%,100.00%,100.00%,25.00%,25.00%
广州塔,openai,text,Direct,13,54.17%,2025-12-25T01:32:27.904799,87.50%,0.00%,100.00%,25.00%,25.00%
广州塔,qwen,text,Direct,15,62.50%,2025-12-25T01:32:58.251153,50.00%,75.00%,75.00%,25.00%,100.00%
旧金山联合广场,claude,text,Direct,15,62.50%,2025-12-25T01:35:58.929820,50.00%,50.00%,100.00%,50.00%,75.00%
旧金山联合广场,deepseek,text,Direct,4,16.67%,2025-12-25T01:36:57.357205,25.00%,0.00%,25.00%,25.00%,0.00%
旧金山联合广场,gemini,text,Direct,16,66.67%,2025-12-25T01:46:57.048384,62.50%,75.00%,100.00%,50.00%,50.00%
旧金山联合广场,openai,text,Direct,6,25.00%,2025-12-25T01:48:03.156118,50.00%,0.00%,25.00%,0.00%,25.00%
旧金山联合广场,qwen,text,Direct,14,58.33%,2025-12-25T01:48:40.003125,12.50%,75.00%,100.00%,75.00%,75.00%
柏林勃兰登堡门,claude,text,Direct,17,70.83%,2025-12-25T01:51:26.302742,87.50%,75.00%,75.00%,75.00%,25.00%
柏林勃兰登堡门,deepseek,text,Direct,15,62.50%,2025-12-25T01:52:31.605221,75.00%,100.00%,50.00%,25.00%,50.00%
柏林勃兰登堡门,gemini,text,Direct,21,87.50%,2025-12-25T02:03:52.360885,100.00%,100.00%,50.00%,75.00%,100.00%
柏林勃兰登堡门,openai,text,Direct,12,50.00%,2025-12-25T02:05:03.578118,75.00%,0.00%,25.00%,25.00%,100.00%
柏林勃兰登堡门,qwen,text,Direct,15,62.50%,2025-12-25T02:05:44.264925,62.50%,100.00%,75.00%,25.00%,50.00%
武汉黄鹤楼,claude,text,Direct,15,62.50%,2025-12-25T02:08:32.592137,87.50%,50.00%,50.00%,50.00%,50.00%
武汉黄鹤楼,deepseek,text,Direct,14,58.33%,2025-12-25T02:09:41.088968,62.50%,100.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,gemini,text,Direct,19,79.17%,2025-12-25T02:22:56.983334,100.00%,100.00%,100.00%,25.00%,50.00%
武汉黄鹤楼,openai,text,Direct,8,33.33%,2025-12-25T02:24:09.367197,37.50%,25.00%,50.00%,25.00%,25.00%
武汉黄鹤楼,qwen,text,Direct,13,54.17%,2025-12-25T02:25:01.739445,50.00%,75.00%,50.00%,50.00%,50.00%
洛杉矶好莱坞,claude,text,Direct,17,70.83%,2025-12-25T02:28:05.333247,62.50%,75.00%,100.00%,25.00%,100.00%
洛杉矶好莱坞,deepseek,text,Direct,9,37.50%,2025-12-25T02:29:16.033460,50.00%,25.00%,50.00%,0.00%,50.00%
洛杉矶好莱坞,gemini,text,Direct,20,83.33%,2025-12-25T02:36:13.549105,100.00%,100.00%,100.00%,25.00%,75.00%
洛杉矶好莱坞,openai,text,Direct,10,41.67%,2025-12-25T02:37:18.063382,37.50%,25.00%,75.00%,0.00%,75.00%
洛杉矶好莱坞,qwen,text,Direct,12,50.00%,2025-12-25T02:37:57.063723,37.50%,75.00%,75.00%,0.00%,75.00%
纽约时代广场,claude,text,Direct,15,62.50%,2025-12-25T02:41:10.325072,50.00%,75.00%,75.00%,75.00%,50.00%
纽约时代广场,deepseek,text,Direct,10,41.67%,2025-12-25T02:42:10.956028,50.00%,50.00%,50.00%,25.00%,25.00%
