Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,claude,text,Direct,15,62.50%,2025-12-24T16:36:04.231048,87.50%,75.00%,100.00%,25.00%,0.00%
上海外滩,deepseek,text,Direct,12,50.00%,2025-12-24T16:36:59.027419,62.50%,50.00%,50.00%,50.00%,25.00%
上海外滩,gemini,text,Direct,20,83.33%,2025-12-24T16:48:18.656136,100.00%,100.00%,100.00%,25.00%,75.00%
上海外滩,openai,text,Direct,4,16.67%,2025-12-24T16:49:22.473618,12.50%,25.00%,25.00%,0.00%,25.00%
上海外滩,qwen,text,Direct,12,50.00%,2025-12-24T16:50:01.561727,50.00%,25.00%,50.00%,50.00%,75.00%
伦敦大本钟,claude,text,Direct,19,79.17%,2025-12-24T17:15:35.956865,100.00%,100.00%,50.00%,50.00%,75.00%
伦敦大本钟,deepseek,text,Direct,14,58.33%,2025-12-24T17:16:35.162291,75.00%,25.00%,50.00%,50.00%,75.00%
伦敦大本钟,gemini,text,Direct,23,95.83%,2025-12-24T17:23:21.958213,100.00%,100.00%,100.00%,75.00%,100.00%
伦敦大本钟,openai,text,Direct,10,41.67%,2025-12-24T17:24:24.547515,62.50%,0.00%,50.00%,0.00%,75.00%
伦敦大本钟,qwen,text,Direct,15,62.50%,2025-12-24T17:25:06.016636,50.00%,25.00%,100.00%,75.00%,75.00%
北京天安门,claude,text,Direct,17,70.83%,2025-12-24T18:45:16.666335,75.00%,50.00%,75.00%,50.00%,100.00%
北京天安门,deepseek,text,Direct,9,37.50%,2025-12-24T18:46:22.466092,25.00%,25.00%,50.00%,75.00%,25.00%
北京天安门,gemini,text,Direct,21,87.50%,2025-12-24T18:56:06.542867,100.00%,100.00%,100.00%,25.00%,100.00%
北京天安门,openai,text,Direct,16,66.67%,2025-12-24T18:58:01.665405,87.50%,25.00%,75.00%,50.00%,75.00%
北京天安门,qwen,text,Direct,16,66.67%,2025-12-24T18:58:52.843222,62.50%,75.00%,75.00%,25.00%,100.00%
多伦多CN塔,claude,text,Direct,18,75.00%,2025-12-24T19:35:48.082455,100.00%,75.00%,75.00%,50.00%,50.00%
多伦多CN塔,deepseek,text,Direct,13,54.17%,2025-12-24T19:37:13.618326,75.00%,50.00%,75.00%,25.00%,25.00%
多伦多CN塔,gemini,text,Direct,19,79.17%,2025-12-24T19:46:00.332645,100.00%,75.00%,100.00%,25.00%,75.00%
多伦多CN塔,openai,text,Direct,12,50.00%,2025-12-24T19:47:29.377334,50.00%,0.00%,75.00%,50.00%,75.00%
多伦多CN塔,qwen,text,Direct,13,54.17%,2025-12-24T19:49:39.630099,50.00%,50.00%,75.00%,75.00%,25.00%
巴黎埃菲尔铁塔,claude,text,Direct,17,70.83%,2025-12-24T20:43:58.950945,87.50%,75.00%,75.00%,25.00%,75.00%
巴黎埃菲尔铁塔,deepseek,text,Direct,11,45.83%,2025-12-24T20:44:55.967905,25.00%,75.00%,100.00%,0.00%,50.00%
巴黎埃菲尔铁塔,gemini,text,Direct,21,87.50%,2025-12-24T20:54:59.245112,100.00%,100.00%,100.00%,25.00%,100.00%
巴黎埃菲尔铁塔,openai,text,Direct,17,70.83%,2025-12-24T20:56:03.302937,87.50%,50.00%,50.00%,75.00%,75.00%
巴黎埃菲尔铁塔,qwen,text,Direct,15,62.50%,2025-12-24T20:56:41.190158,62.50%,50.00%,50.00%,50.00%,100.00%
广州塔,claude,text,Direct,15,62.50%,2025-12-24T20:58:14.321025,87.50%,75.00%,75.00%,25.00%,25.00%
广州塔,deepseek,text,Direct,12,50.00%,2025-12-24T20:59:09.904544,62.50%,75.00%,50.00%,25.00%,25.00%
广州塔,gemini,text,Direct,19,79.17%,2025-12-24T21:06:23.394269,100.00%,100.00%,100.00%,25.00%,50.00%
广州塔,openai,text,Direct,11,45.83%,2025-12-24T21:07:24.259838,75.00%,50.00%,50.00%,25.00%,0.00%
广州塔,qwen,text,Direct,10,41.67%,2025-12-24T21:07:50.079446,50.00%,25.00%,50.00%,25.00%,50.00%
旧金山联合广场,claude,text,Direct,16,66.67%,2025-12-24T21:10:42.132802,62.50%,50.00%,100.00%,75.00%,50.00%
旧金山联合广场,deepseek,text,Direct,11,45.83%,2025-12-24T21:11:44.950893,25.00%,50.00%,75.00%,75.00%,25.00%
旧金山联合广场,gemini,text,Direct,15,62.50%,2025-12-24T21:22:31.769664,62.50%,75.00%,75.00%,50.00%,50.00%
旧金山联合广场,openai,text,Direct,9,37.50%,2025-12-24T21:23:39.072577,37.50%,0.00%,75.00%,25.00%,50.00%
旧金山联合广场,qwen,text,Direct,10,41.67%,2025-12-24T21:24:10.834644,12.50%,50.00%,75.00%,50.00%,50.00%
柏林勃兰登堡门,claude,text,Direct,18,75.00%,2025-12-24T21:26:46.151680,87.50%,100.00%,50.00%,75.00%,50.00%
柏林勃兰登堡门,deepseek,text,Direct,14,58.33%,2025-12-24T21:27:45.508506,87.50%,100.00%,50.00%,0.00%,25.00%
柏林勃兰登堡门,gemini,text,Direct,19,79.17%,2025-12-24T21:36:33.736483,100.00%,100.00%,50.00%,50.00%,75.00%
柏林勃兰登堡门,openai,text,Direct,11,45.83%,2025-12-24T21:37:41.364607,62.50%,25.00%,75.00%,25.00%,25.00%
柏林勃兰登堡门,qwen,text,Direct,15,62.50%,2025-12-24T21:38:22.058443,50.00%,100.00%,100.00%,25.00%,50.00%
武汉黄鹤楼,claude,text,Direct,17,70.83%,2025-12-24T21:41:23.200583,75.00%,100.00%,100.00%,25.00%,50.00%
武汉黄鹤楼,deepseek,text,Direct,9,37.50%,2025-12-24T21:42:26.506722,62.50%,0.00%,75.00%,0.00%,25.00%
武汉黄鹤楼,gemini,text,Direct,17,70.83%,2025-12-24T21:53:53.672269,100.00%,100.00%,100.00%,0.00%,25.00%
武汉黄鹤楼,openai,text,Direct,8,33.33%,2025-12-24T21:56:18.747667,50.00%,0.00%,50.00%,0.00%,50.00%
武汉黄鹤楼,qwen,text,Direct,14,58.33%,2025-12-24T21:56:54.786645,50.00%,50.00%,75.00%,75.00%,50.00%
洛杉矶好莱坞,claude,text,Direct,16,66.67%,2025-12-24T21:59:19.680231,75.00%,100.00%,75.00%,0.00%,75.00%
洛杉矶好莱坞,deepseek,text,Direct,11,45.83%,2025-12-24T22:00:18.734434,25.00%,50.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,gemini,text,Direct,21,87.50%,2025-12-24T22:07:54.522658,100.00%,100.00%,100.00%,25.00%,100.00%
洛杉矶好莱坞,openai,text,Direct,8,33.33%,2025-12-24T22:09:01.786168,25.00%,25.00%,50.00%,0.00%,75.00%
