文件名,区域,覆盖率,覆盖道路长度_m,总道路长度_m,解析POI数,访问POI去重数,本地POI总数,访问POI覆盖率,缺失访问POI数,缺失访问POI示例,使用段数,未匹配POI数,无路可达段数,错误
评估报告_上海外滩_claude_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,9,0,0,
评估报告_上海外滩_deepseek_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,9,0,0,
评估报告_上海外滩_gemini_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,9,0,0,
评估报告_上海外滩_openai_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,9,0,0,
评估报告_上海外滩_qwen_report.txt.json,上海外滩,0.853673,3906.83,4576.49,9,9,9,1.000000,0,,9,0,0,
评估报告_伦敦大本钟_claude_report.txt.json,伦敦大本钟,0.494108,4976.86,10072.42,17,14,15,0.933333,1,Milne’s House,14,3,0,
评估报告_伦敦大本钟_deepseek_report.txt.json,伦敦大本钟,0.494108,4976.86,10072.42,16,15,15,1.000000,0,,15,1,0,
评估报告_伦敦大本钟_gemini_report.txt.json,伦敦大本钟,0.494108,4976.86,10072.42,15,15,15,1.000000,0,,15,0,0,
评估报告_伦敦大本钟_openai_report.txt.json,伦敦大本钟,0.494108,4976.86,10072.42,15,15,15,1.000000,0,,15,0,0,
评估报告_伦敦大本钟_qwen_report.txt.json,伦敦大本钟,0.543000,5469.32,10072.42,15,15,15,1.000000,0,,15,0,0,
评估报告_北京天安门_claude_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,20,0,1,
评估报告_北京天安门_deepseek_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,21,0,0,
评估报告_北京天安门_gemini_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,21,0,0,
评估报告_北京天安门_openai_report.txt.json,北京天安门,0.847848,6548.85,7724.09,21,21,21,1.000000,0,,21,0,0,
评估报告_北京天安门_qwen_report.txt.json,北京天安门,0.907056,7006.18,7724.09,23,21,21,1.000000,0,,22,0,1,
评估报告_多伦多CN塔_claude_report.txt.json,多伦多CN塔,0.804483,5916.30,7354.16,26,13,13,1.000000,0,,16,5,5,
评估报告_多伦多CN塔_deepseek_report.txt.json,多伦多CN塔,0.825224,6068.83,7354.16,19,13,13,1.000000,0,,17,1,1,
评估报告_多伦多CN塔_gemini_report.txt.json,多伦多CN塔,0.813189,5980.32,7354.16,17,13,13,1.000000,0,,15,1,1,
评估报告_多伦多CN塔_openai_report.txt.json,多伦多CN塔,0.813189,5980.32,7354.16,116,13,13,1.000000,0,,15,54,47,
评估报告_多伦多CN塔_qwen_report.txt.json,多伦多CN塔,0.833930,6132.85,7354.16,22,13,13,1.000000,0,,16,3,3,
评估报告_巴黎埃菲尔铁塔_claude_report.txt.json,巴黎埃菲尔铁塔,0.621382,7214.66,11610.66,18,15,15,1.000000,0,,15,3,0,
评估报告_巴黎埃菲尔铁塔_deepseek_report.txt.json,巴黎埃菲尔铁塔,0.621382,7214.66,11610.66,18,15,15,1.000000,0,,15,3,0,
评估报告_巴黎埃菲尔铁塔_gemini_report.txt.json,巴黎埃菲尔铁塔,0.621382,7214.66,11610.66,16,15,15,1.000000,0,,15,1,0,
评估报告_巴黎埃菲尔铁塔_openai_report.txt.json,巴黎埃菲尔铁塔,0.604137,7014.43,11610.66,16,15,15,1.000000,0,,15,1,0,
评估报告_巴黎埃菲尔铁塔_qwen_report.txt.json,巴黎埃菲尔铁塔,0.621382,7214.66,11610.66,16,15,15,1.000000,0,,15,1,0,
评估报告_广州塔_claude_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,7,0,0,
评估报告_广州塔_deepseek_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,7,0,0,
评估报告_广州塔_gemini_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,7,0,0,
评估报告_广州塔_openai_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,7,0,0,
评估报告_广州塔_qwen_report.txt.json,广州塔,0.773204,3366.84,4354.40,7,7,7,1.000000,0,,7,0,0,
评估报告_旧金山联合广场_claude_report.txt.json,旧金山联合广场,0.458397,4196.59,9154.92,17,14,14,1.000000,0,,15,2,0,
评估报告_旧金山联合广场_deepseek_report.txt.json,旧金山联合广场,0.516274,4726.45,9154.92,17,14,14,1.000000,0,,15,2,0,
评估报告_旧金山联合广场_gemini_report.txt.json,旧金山联合广场,0.458397,4196.59,9154.92,18,14,14,1.000000,0,,15,3,0,
