Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,claude,context,Direct,19,79.17%,2025-12-25T12:08:50.457694,100.00%,75.00%,75.00%,25.00%,100.00%
上海外滩,claude,graph,Direct,12,50.00%,2025-12-25T12:12:46.127753,37.50%,50.00%,50.00%,25.00%,100.00%
上海外滩,claude,map,Direct,21,87.50%,2025-12-25T12:14:46.579958,100.00%,75.00%,100.00%,50.00%,100.00%
上海外滩,deepseek,context,Direct,16,66.67%,2025-12-25T12:15:47.652952,62.50%,75.00%,100.00%,25.00%,75.00%
上海外滩,deepseek,graph,Direct,15,62.50%,2025-12-25T12:16:45.215807,62.50%,25.00%,100.00%,50.00%,75.00%
上海外滩,deepseek,map,Direct,18,75.00%,2025-12-25T12:17:53.163914,75.00%,50.00%,100.00%,75.00%,75.00%
上海外滩,gemini,context,Direct,19,79.17%,2025-12-25T12:27:49.325691,100.00%,75.00%,75.00%,25.00%,100.00%
上海外滩,gemini,graph,Direct,20,83.33%,2025-12-25T12:46:13.226318,100.00%,75.00%,50.00%,75.00%,100.00%
上海外滩,gemini,map,Direct,20,83.33%,2025-12-25T13:05:20.476445,100.00%,50.00%,100.00%,75.00%,75.00%
上海外滩,openai,context,Direct,17,70.83%,2025-12-25T13:06:26.231608,75.00%,75.00%,100.00%,25.00%,75.00%
上海外滩,openai,graph,Direct,17,70.83%,2025-12-25T13:07:29.463763,75.00%,25.00%,75.00%,75.00%,100.00%
上海外滩,openai,map,Direct,13,54.17%,2025-12-25T13:08:35.207913,50.00%,25.00%,75.00%,25.00%,100.00%
上海外滩,qwen,context,Direct,14,58.33%,2025-12-25T13:09:19.404978,25.00%,75.00%,100.00%,25.00%,100.00%
上海外滩,qwen,graph,Direct,12,50.00%,2025-12-25T13:10:04.278542,37.50%,0.00%,75.00%,50.00%,100.00%
上海外滩,qwen,map,Direct,13,54.17%,2025-12-25T13:10:49.040009,25.00%,25.00%,100.00%,50.00%,100.00%
伦敦大本钟,claude,context,Direct,18,75.00%,2025-12-25T13:12:20.126624,75.00%,50.00%,100.00%,50.00%,100.00%
伦敦大本钟,claude,graph,Direct,16,66.67%,2025-12-25T13:16:09.313870,87.50%,50.00%,75.00%,0.00%,100.00%
伦敦大本钟,claude,map,Direct,15,62.50%,2025-12-25T13:18:18.870788,87.50%,25.00%,25.00%,50.00%,100.00%
伦敦大本钟,deepseek,context,Direct,17,70.83%,2025-12-25T13:19:20.046110,75.00%,100.00%,75.00%,25.00%,75.00%
伦敦大本钟,deepseek,graph,Direct,13,54.17%,2025-12-25T13:20:21.240508,50.00%,0.00%,100.00%,25.00%,100.00%
伦敦大本钟,deepseek,map,Direct,13,54.17%,2025-12-25T13:21:24.987943,50.00%,25.00%,100.00%,0.00%,100.00%
伦敦大本钟,gemini,context,Direct,20,83.33%,2025-12-25T13:30:45.446589,100.00%,100.00%,100.00%,25.00%,75.00%
