区域,原始文件名,context_text字段字节大小
上海外滩,上海外滩_claude_report.txt,18617
上海外滩,上海外滩_deepseek_report.txt,14809
上海外滩,上海外滩_gemini_report.txt,13503
上海外滩,上海外滩_openai_report.txt,11869
上海外滩,上海外滩_qwen_report.txt,14922
伦敦大本钟,伦敦大本钟_claude_report.txt,20208
伦敦大本钟,伦敦大本钟_deepseek_report.txt,25648
伦敦大本钟,伦敦大本钟_gemini_report.txt,19842
伦敦大本钟,伦敦大本钟_openai_report.txt,18365
伦敦大本钟,伦敦大本钟_qwen_report.txt,22799
北京天安门,北京天安门_claude_report.txt,50496
北京天安门,北京天安门_deepseek_report.txt,42058
北京天安门,北京天安门_gemini_report.txt,40258
北京天安门,北京天安门_openai_report.txt,40916
北京天安门,北京天安门_qwen_report.txt,40261
多伦多CN塔,多伦多CN塔_claude_report.txt,22056
多伦多CN塔,多伦多CN塔_deepseek_report.txt,26444
多伦多CN塔,多伦多CN塔_gemini_report.txt,20020
多伦多CN塔,多伦多CN塔_openai_report.txt,18115
多伦多CN塔,多伦多CN塔_qwen_report.txt,22186
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_claude_report.txt,24287
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_deepseek_report.txt,26399
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_gemini_report.txt,20986
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_openai_report.txt,18381
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_qwen_report.txt,23647
广州塔,广州塔_claude_report.txt,7775
广州塔,广州塔_deepseek_report.txt,7544
广州塔,广州塔_gemini_report.txt,6507
广州塔,广州塔_openai_report.txt,9001
广州塔,广州塔_qwen_report.txt,7284
旧金山联合广场,旧金山联合广场_claude_report.txt,25604
旧金山联合广场,旧金山联合广场_deepseek_report.txt,26388
旧金山联合广场,旧金山联合广场_gemini_report.txt,20429
旧金山联合广场,旧金山联合广场_openai_report.txt,18569
旧金山联合广场,旧金山联合广场_qwen_report.txt,22613
柏林勃兰登堡门,柏林勃兰登堡门_claude_report.txt,23586
柏林勃兰登堡门,柏林勃兰登堡门_deepseek_report.txt,22484
柏林勃兰登堡门,柏林勃兰登堡门_gemini_report.txt,20653
柏林勃兰登堡门,柏林勃兰登堡门_openai_report.txt,19175
柏林勃兰登堡门,柏林勃兰登堡门_qwen_report.txt,24335
武汉黄鹤楼,武汉黄鹤楼_claude_report.txt,48031
武汉黄鹤楼,武汉黄鹤楼_deepseek_report.txt,42612
武汉黄鹤楼,武汉黄鹤楼_gemini_report.txt,38003
武汉黄鹤楼,武汉黄鹤楼_openai_report.txt,37403
武汉黄鹤楼,武汉黄鹤楼_qwen_report.txt,38590
洛杉矶好莱坞,洛杉矶好莱坞_claude_report.txt,19992
洛杉矶好莱坞,洛杉矶好莱坞_deepseek_report.txt,27419
洛杉矶好莱坞,洛杉矶好莱坞_gemini_report.txt,16341
洛杉矶好莱坞,洛杉矶好莱坞_openai_report.txt,17647
洛杉矶好莱坞,洛杉矶好莱坞_qwen_report.txt,20783
纽约时代广场,纽约时代广场_claude_report.txt,24570
纽约时代广场,纽约时代广场_deepseek_report.txt,21673
纽约时代广场,纽约时代广场_gemini_report.txt,15947
纽约时代广场,纽约时代广场_openai_report.txt,18770
纽约时代广场,纽约时代广场_qwen_report.txt,20955
维也纳美泉宫,维也纳美泉宫_claude_report.txt,31034
维也纳美泉宫,维也纳美泉宫_deepseek_report.txt,29748
维也纳美泉宫,维也纳美泉宫_gemini_report.txt,26966
维也纳美泉宫,维也纳美泉宫_openai_report.txt,28941
维也纳美泉宫,维也纳美泉宫_qwen_report.txt,23314
罗马斗兽场,罗马斗兽场_claude_report.txt,21757
罗马斗兽场,罗马斗兽场_deepseek_report.txt,24695
罗马斗兽场,罗马斗兽场_gemini_report.txt,20889
罗马斗兽场,罗马斗兽场_openai_report.txt,19866
罗马斗兽场,罗马斗兽场_qwen_report.txt,23327
芝加哥千禧公园,芝加哥千禧公园_claude_report.txt,24425
芝加哥千禧公园,芝加哥千禧公园_deepseek_report.txt,24374
芝加哥千禧公园,芝加哥千禧公园_gemini_report.txt,20385
芝加哥千禧公园,芝加哥千禧公园_openai_report.txt,18826
芝加哥千禧公园,芝加哥千禧公园_qwen_report.txt,19354
长沙五一广场,长沙五一广场_claude_report.txt,18156
长沙五一广场,长沙五一广场_deepseek_report.txt,18966
长沙五一广场,长沙五一广场_gemini_report.txt,16640
长沙五一广场,长沙五一广场_openai_report.txt,17219
长沙五一广场,长沙五一广场_qwen_report.txt,16605
