Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,anthropic/claude-sonnet-4,context,Direct,15,62.50%,2025-12-27T22:17:52.722905,75.00%,75.00%,50.00%,25.00%,75.00%
上海外滩,anthropic/claude-3.7-sonnet,context,Direct,18,75.00%,2025-12-27T22:19:43.425168,87.50%,75.00%,75.00%,25.00%,100.00%
上海外滩,anthropic/claude-3.5-sonnet,context,Direct,17,70.83%,2025-12-27T22:22:12.084353,87.50%,75.00%,100.00%,0.00%,75.00%
伦敦大本钟,anthropic/claude-sonnet-4,context,Direct,22,91.67%,2025-12-27T22:59:16.787194,87.50%,100.00%,75.00%,100.00%,100.00%
伦敦大本钟,anthropic/claude-3.7-sonnet,context,Direct,22,91.67%,2025-12-27T23:00:56.426225,100.00%,100.00%,100.00%,50.00%,100.00%
伦敦大本钟,anthropic/claude-3.5-sonnet,context,Direct,17,70.83%,2025-12-27T23:03:21.571614,100.00%,100.00%,25.00%,50.00%,50.00%
北京天安门,anthropic/claude-sonnet-4,context,Direct,21,87.50%,2025-12-27T23:05:32.640990,100.00%,75.00%,100.00%,50.00%,100.00%
北京天安门,anthropic/claude-3.7-sonnet,context,Direct,20,83.33%,2025-12-27T23:07:35.167493,75.00%,75.00%,100.00%,75.00%,100.00%
北京天安门,anthropic/claude-3.5-sonnet,context,Direct,21,87.50%,2025-12-27T23:10:17.152762,100.00%,75.00%,100.00%,50.00%,100.00%
多伦多CN塔,anthropic/claude-sonnet-4,context,Direct,21,87.50%,2025-12-27T23:12:11.736466,87.50%,100.00%,75.00%,75.00%,100.00%
多伦多CN塔,anthropic/claude-3.7-sonnet,context,Direct,23,95.83%,2025-12-27T23:13:56.240467,100.00%,100.00%,100.00%,75.00%,100.00%
多伦多CN塔,anthropic/claude-3.5-sonnet,context,Direct,22,91.67%,2025-12-27T23:16:36.489458,87.50%,100.00%,100.00%,75.00%,100.00%
巴黎埃菲尔铁塔,anthropic/claude-sonnet-4,context,Direct,18,75.00%,2025-12-27T23:18:14.283079,87.50%,50.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,anthropic/claude-3.7-sonnet,context,Direct,19,79.17%,2025-12-27T23:19:45.692894,100.00%,75.00%,75.00%,50.00%,75.00%
巴黎埃菲尔铁塔,anthropic/claude-3.5-sonnet,context,Direct,19,79.17%,2025-12-27T23:22:20.995650,100.00%,75.00%,100.00%,50.00%,50.00%
广州塔,anthropic/claude-sonnet-4,context,Direct,21,87.50%,2025-12-27T23:24:11.671593,100.00%,75.00%,100.00%,50.00%,100.00%
广州塔,anthropic/claude-3.7-sonnet,context,Direct,16,66.67%,2025-12-27T23:26:17.357271,100.00%,50.00%,25.00%,25.00%,100.00%
广州塔,anthropic/claude-3.5-sonnet,context,Direct,17,70.83%,2025-12-27T23:28:55.026397,100.00%,50.00%,50.00%,25.00%,100.00%
旧金山联合广场,anthropic/claude-sonnet-4,context,Direct,17,70.83%,2025-12-27T23:30:54.502531,50.00%,50.00%,100.00%,75.00%,100.00%
旧金山联合广场,anthropic/claude-3.7-sonnet,context,Direct,17,70.83%,2025-12-27T23:32:21.514537,50.00%,75.00%,100.00%,75.00%,75.00%
旧金山联合广场,anthropic/claude-3.5-sonnet,context,Direct,16,66.67%,2025-12-27T23:35:03.200474,62.50%,50.00%,75.00%,75.00%,75.00%
柏林勃兰登堡门,anthropic/claude-sonnet-4,context,Direct,21,87.50%,2025-12-27T23:37:13.376186,87.50%,100.00%,75.00%,75.00%,100.00%
柏林勃兰登堡门,anthropic/claude-3.7-sonnet,context,Direct,21,87.50%,2025-12-27T23:38:37.546132,100.00%,100.00%,75.00%,50.00%,100.00%
柏林勃兰登堡门,anthropic/claude-3.5-sonnet,context,Direct,21,87.50%,2025-12-27T23:41:13.452132,87.50%,100.00%,100.00%,75.00%,75.00%
武汉黄鹤楼,anthropic/claude-sonnet-4,context,Direct,18,75.00%,2025-12-27T23:43:20.140147,62.50%,100.00%,100.00%,25.00%,100.00%
武汉黄鹤楼,anthropic/claude-3.7-sonnet,context,Direct,17,70.83%,2025-12-27T23:44:55.233248,75.00%,75.00%,75.00%,25.00%,100.00%
武汉黄鹤楼,anthropic/claude-3.5-sonnet,context,Direct,16,66.67%,2025-12-27T23:47:56.355113,75.00%,50.00%,50.00%,50.00%,100.00%
洛杉矶好莱坞,anthropic/claude-sonnet-4,context,Direct,17,70.83%,2025-12-27T23:50:01.700045,62.50%,25.00%,100.00%,75.00%,100.00%
洛杉矶好莱坞,anthropic/claude-3.7-sonnet,context,Direct,18,75.00%,2025-12-27T23:52:10.955028,75.00%,100.00%,75.00%,25.00%,100.00%
洛杉矶好莱坞,anthropic/claude-3.5-sonnet,context,Direct,17,70.83%,2025-12-27T23:54:54.028235,75.00%,75.00%,75.00%,50.00%,75.00%
纽约时代广场,anthropic/claude-sonnet-4,context,Direct,15,62.50%,2025-12-27T23:57:06.054060,37.50%,50.00%,75.00%,100.00%,75.00%
纽约时代广场,anthropic/claude-3.7-sonnet,context,Direct,18,75.00%,2025-12-27T23:58:35.917314,50.00%,75.00%,100.00%,75.00%,100.00%
纽约时代广场,anthropic/claude-3.5-sonnet,context,Direct,17,70.83%,2025-12-28T00:01:11.332128,50.00%,75.00%,75.00%,75.00%,100.00%
维也纳美泉宫,anthropic/claude-sonnet-4,context,Direct,21,87.50%,2025-12-28T00:03:18.819535,87.50%,100.00%,75.00%,75.00%,100.00%
维也纳美泉宫,anthropic/claude-3.7-sonnet,context,Direct,19,79.17%,2025-12-28T00:05:20.993101,75.00%,75.00%,75.00%,75.00%,100.00%
维也纳美泉宫,anthropic/claude-3.5-sonnet,context,Direct,22,91.67%,2025-12-28T00:08:03.033851,100.00%,100.00%,75.00%,100.00%,75.00%
罗马斗兽场,anthropic/claude-sonnet-4,context,Direct,22,91.67%,2025-12-28T00:09:38.853766,87.50%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,anthropic/claude-3.7-sonnet,context,Direct,22,91.67%,2025-12-28T00:10:56.169704,87.50%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,anthropic/claude-3.5-sonnet,context,Direct,21,87.50%,2025-12-28T00:13:30.040331,87.50%,100.00%,75.00%,75.00%,100.00%
芝加哥千禧公园,anthropic/claude-sonnet-4,context,Direct,20,83.33%,2025-12-28T00:15:15.653029,87.50%,100.00%,75.00%,50.00%,100.00%
芝加哥千禧公园,anthropic/claude-3.7-sonnet,context,Direct,16,66.67%,2025-12-28T00:17:01.992930,50.00%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,anthropic/claude-3.5-sonnet,context,Direct,16,66.67%,2025-12-28T00:19:31.842907,50.00%,100.00%,75.00%,25.00%,100.00%
长沙五一广场,anthropic/claude-sonnet-4,context,Direct,19,79.17%,2025-12-28T00:21:42.440169,87.50%,75.00%,50.00%,75.00%,100.00%
长沙五一广场,anthropic/claude-3.7-sonnet,context,Direct,21,87.50%,2025-12-28T00:23:27.484680,100.00%,75.00%,100.00%,50.00%,100.00%
长沙五一广场,anthropic/claude-3.5-sonnet,context,Direct,21,87.50%,2025-12-28T00:26:00.705100,100.00%,75.00%,100.00%,75.00%,75.00%
