Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
维也纳美泉宫,openai,context,CoT,20,83.33%,2025-12-26T22:26:56.105373,75.00%,100.00%,75.00%,75.00%,100.00%
维也纳美泉宫,openai,context,Self-Consistency,21,87.50%,2025-12-26T22:29:20.422266,87.50%,100.00%,75.00%,75.00%,100.00%
维也纳美泉宫,openai,context,ToT,23,95.83%,2025-12-26T22:39:36.980806,100.00%,100.00%,100.00%,75.00%,100.00%
维也纳美泉宫,qwen,context,CoT,19,79.17%,2025-12-26T22:43:05.999131,87.50%,100.00%,50.00%,75.00%,75.00%
维也纳美泉宫,qwen,context,Self-Consistency,21,87.50%,2025-12-26T23:04:30.108916,75.00%,100.00%,100.00%,100.00%,75.00%
维也纳美泉宫,qwen,context,ToT,21,87.50%,2025-12-26T23:25:48.034619,87.50%,100.00%,100.00%,75.00%,75.00%
罗马斗兽场,claude,context,CoT,23,95.83%,2025-12-26T23:29:16.248902,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,claude,context,Self-Consistency,23,95.83%,2025-12-26T23:34:18.537454,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,claude,context,ToT,23,95.83%,2025-12-26T23:46:18.998379,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,deepseek,context,CoT,15,62.50%,2025-12-26T23:47:15.937147,37.50%,75.00%,75.00%,50.00%,100.00%
罗马斗兽场,deepseek,context,Self-Consistency,17,70.83%,2025-12-26T23:49:29.512565,50.00%,75.00%,75.00%,75.00%,100.00%
罗马斗兽场,deepseek,context,ToT,21,87.50%,2025-12-26T23:57:58.416634,87.50%,100.00%,100.00%,50.00%,100.00%
罗马斗兽场,gemini,context,CoT,23,95.83%,2025-12-27T00:06:00.884419,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,gemini,context,Self-Consistency,23,95.83%,2025-12-27T00:17:59.093669,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,gemini,context,ToT,23,95.83%,2025-12-27T00:54:17.799912,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,openai,context,CoT,22,91.67%,2025-12-27T00:55:46.115887,87.50%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,openai,context,Self-Consistency,22,91.67%,2025-12-27T00:59:25.777272,87.50%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,openai,context,ToT,22,91.67%,2025-12-27T01:06:53.372172,100.00%,100.00%,75.00%,75.00%,100.00%
罗马斗兽场,qwen,context,CoT,21,87.50%,2025-12-27T01:09:54.167979,100.00%,100.00%,100.00%,50.00%,75.00%
罗马斗兽场,qwen,context,Self-Consistency,20,83.33%,2025-12-27T01:25:50.899208,87.50%,100.00%,75.00%,75.00%,75.00%
罗马斗兽场,qwen,context,ToT,21,87.50%,2025-12-27T01:37:18.698699,100.00%,100.00%,100.00%,50.00%,75.00%
芝加哥千禧公园,claude,context,CoT,17,70.83%,2025-12-27T01:40:40.559927,62.50%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,claude,context,Self-Consistency,17,70.83%,2025-12-27T01:45:31.630311,62.50%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,claude,context,ToT,18,75.00%,2025-12-27T01:57:14.100535,75.00%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,deepseek,context,CoT,16,66.67%,2025-12-27T01:58:14.205647,50.00%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,deepseek,context,Self-Consistency,16,66.67%,2025-12-27T02:00:26.522428,50.00%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,deepseek,context,ToT,16,66.67%,2025-12-27T02:09:03.309108,62.50%,100.00%,75.00%,25.00%,75.00%
芝加哥千禧公园,gemini,context,CoT,19,79.17%,2025-12-27T02:18:00.142114,87.50%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,gemini,context,Self-Consistency,18,75.00%,2025-12-27T02:32:48.152825,75.00%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,gemini,context,ToT,18,75.00%,2025-12-27T03:09:50.509745,75.00%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,openai,context,CoT,16,66.67%,2025-12-27T03:10:54.423150,50.00%,100.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,openai,context,Self-Consistency,15,62.50%,2025-12-27T03:13:16.238968,50.00%,100.00%,75.00%,25.00%,75.00%
芝加哥千禧公园,openai,context,ToT,19,79.17%,2025-12-27T03:20:25.160933,75.00%,100.00%,75.00%,50.00%,100.00%
芝加哥千禧公园,qwen,context,CoT,18,75.00%,2025-12-27T03:23:23.160562,87.50%,75.00%,50.00%,75.00%,75.00%
芝加哥千禧公园,qwen,context,Self-Consistency,19,79.17%,2025-12-27T03:43:53.243671,87.50%,75.00%,75.00%,75.00%,75.00%
芝加哥千禧公园,qwen,context,ToT,15,62.50%,2025-12-27T03:58:46.470146,62.50%,100.00%,75.00%,25.00%,50.00%
长沙五一广场,claude,context,CoT,19,79.17%,2025-12-27T04:04:36.869497,87.50%,75.00%,75.00%,50.00%,100.00%
长沙五一广场,claude,context,Self-Consistency,19,79.17%,2025-12-27T04:09:44.805743,100.00%,75.00%,50.00%,50.00%,100.00%
长沙五一广场,claude,context,ToT,22,91.67%,2025-12-27T04:22:04.604033,100.00%,75.00%,100.00%,75.00%,100.00%
长沙五一广场,deepseek,context,CoT,16,66.67%,2025-12-27T04:23:01.631728,50.00%,75.00%,100.00%,25.00%,100.00%
长沙五一广场,deepseek,context,Self-Consistency,17,70.83%,2025-12-27T04:25:09.256709,62.50%,75.00%,100.00%,25.00%,100.00%
长沙五一广场,deepseek,context,ToT,18,75.00%,2025-12-27T04:33:27.765388,87.50%,75.00%,75.00%,25.00%,100.00%
