source_csv,generated_at,report_json,question_md,question_id,question,provider,model,strategy,phase,temperature,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,input_price_per_1m,input_cache_hit_per_1m,input_cache_miss_per_1m,output_price_per_1m,currency,pricing_url,billing_cache_mode,cost,row_type
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Direct,single,0.1,7238,1,7239,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0028964,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,CoT,single,0.1,7245,125,7370,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.003048,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Self-Consistency,sample_1,1.0,7245,149,7394,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0030767999999999998,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Self-Consistency,sample_2,1.0,7245,103,7348,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0030216,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Self-Consistency,sample_3,1.0,7245,148,7393,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0030756,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Self-Consistency,sample_4,1.0,7245,128,7373,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0030516,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Self-Consistency,sample_5,1.0,7245,153,7398,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0030816,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,ToT,plan,0.1,6814,624,7438,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0034744,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,ToT,candidate_1,1.0,7878,1,7879,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0031523999999999996,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,ToT,candidate_2,1.0,7878,69,7947,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.003234,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,ToT,candidate_3,1.0,7878,1,7879,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0031523999999999996,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,ToT,select,0.1,850,1,851,0,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0003412,event
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Direct,,,7238,1,7239,,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0028964,summary
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,CoT,,,7245,125,7370,,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.003048,summary
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,Self-Consistency,,,36225,681,36906,,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.0153072,summary
qwen_plus_2025_12_01_beijing_q1_token_cost.csv,2026-03-31T13:33:48.357356,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,qwen,qwen-plus-2025-12-01,ToT,,,31298,696,31994,,0.4,,,1.2,USD,https://www.alibabacloud.com/help/en/model-studio/models,no_cache,0.013354399999999999,summary
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Direct,single,0.1,5636,1,5637,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015785000000000003,event
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,CoT,single,0.1,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_4,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_5,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_2,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_1,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_3,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
deepseek_chat_beijing_q1_token_cost.csv,2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,ToT,plan,0.1,5265,390,5655,5248,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0016380000000000001,event
