Region,Model,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,qwen,7,29.17%,2025-12-17 15:26:48,37.50%,25.00%,0.00%,0.00%,75.00%
上海外滩,openai,14,58.33%,2025-12-17 15:29:47,37.50%,75.00%,75.00%,50.00%,75.00%
上海外滩,deepseek,15,62.50%,2025-12-17 15:35:56,75.00%,50.00%,75.00%,50.00%,50.00%
上海外滩,claude,8,33.33%,2025-12-17 15:38:37,37.50%,25.00%,50.00%,0.00%,50.00%
上海外滩,gemini,7,29.17%,2025-12-17 15:41:48,37.50%,25.00%,50.00%,0.00%,25.00%
上海外滩,zhipu,6,25.00%,2025-12-17 15:44:38,25.00%,25.00%,25.00%,0.00%,50.00%
伦敦大本钟,qwen,9,37.50%,2025-12-17 15:49:04,25.00%,50.00%,25.00%,50.00%,50.00%
伦敦大本钟,openai,15,62.50%,2025-12-17 15:52:45,62.50%,50.00%,50.00%,50.00%,100.00%
伦敦大本钟,deepseek,12,50.00%,2025-12-17 15:59:43,62.50%,25.00%,75.00%,0.00%,75.00%
伦敦大本钟,claude,7,29.17%,2025-12-17 16:31:41,12.50%,0.00%,50.00%,25.00%,75.00%
伦敦大本钟,gemini,7,29.17%,2025-12-17 16:35:23,25.00%,25.00%,25.00%,25.00%,50.00%
伦敦大本钟,zhipu,9,37.50%,2025-12-17 16:46:44,50.00%,0.00%,75.00%,0.00%,50.00%
北京天安门,qwen,9,37.50%,2025-12-17 16:56:12,25.00%,25.00%,75.00%,0.00%,75.00%
北京天安门,openai,11,45.83%,2025-12-17 17:01:25,37.50%,0.00%,75.00%,25.00%,100.00%
北京天安门,deepseek,15,62.50%,2025-12-17 17:11:18,50.00%,25.00%,100.00%,50.00%,100.00%
北京天安门,claude,14,58.33%,2025-12-17 17:16:11,37.50%,75.00%,75.00%,25.00%,100.00%
北京天安门,gemini,10,41.67%,2025-12-17 17:23:06,25.00%,0.00%,75.00%,25.00%,100.00%
北京天安门,zhipu,10,41.67%,2025-12-17 17:27:17,25.00%,25.00%,75.00%,0.00%,100.00%
多伦多CN塔,qwen,13,54.17%,2025-12-17 17:59:07,25.00%,50.00%,75.00%,50.00%,100.00%
多伦多CN塔,openai,17,70.83%,2025-12-17 18:31:42,75.00%,75.00%,75.00%,75.00%,50.00%
多伦多CN塔,deepseek,14,58.33%,2025-12-17 19:05:35,62.50%,50.00%,75.00%,25.00%,75.00%
多伦多CN塔,claude,12,50.00%,2025-12-17 19:37:31,37.50%,50.00%,75.00%,25.00%,75.00%
多伦多CN塔,gemini,10,41.67%,2025-12-17 20:08:59,25.00%,25.00%,75.00%,25.00%,75.00%
多伦多CN塔,zhipu,7,29.17%,2025-12-17 20:19:05,50.00%,0.00%,25.00%,0.00%,50.00%
巴黎埃菲尔铁塔,qwen,11,45.83%,2025-12-17 20:23:16,37.50%,50.00%,75.00%,25.00%,50.00%
巴黎埃菲尔铁塔,openai,16,66.67%,2025-12-17 20:26:55,50.00%,50.00%,100.00%,75.00%,75.00%
巴黎埃菲尔铁塔,deepseek,17,70.83%,2025-12-17 20:34:24,75.00%,75.00%,75.00%,25.00%,100.00%
巴黎埃菲尔铁塔,claude,8,33.33%,2025-12-17 20:55:15,37.50%,25.00%,50.00%,25.00%,25.00%
巴黎埃菲尔铁塔,gemini,11,45.83%,2025-12-17 20:59:54,37.50%,50.00%,75.00%,25.00%,50.00%
巴黎埃菲尔铁塔,zhipu,12,50.00%,2025-12-17 21:09:44,50.00%,50.00%,50.00%,50.00%,50.00%
广州塔,qwen,10,41.67%,2025-12-17 21:13:49,37.50%,25.00%,75.00%,25.00%,50.00%
广州塔,openai,9,37.50%,2025-12-17 21:16:39,50.00%,50.00%,25.00%,25.00%,25.00%
广州塔,deepseek,13,54.17%,2025-12-17 21:21:22,50.00%,100.00%,50.00%,25.00%,50.00%
广州塔,claude,8,33.33%,2025-12-17 21:23:19,25.00%,25.00%,50.00%,25.00%,50.00%
广州塔,gemini,10,41.67%,2025-12-17 21:25:10,0.00%,25.00%,50.00%,75.00%,100.00%
广州塔,zhipu,9,37.50%,2025-12-17 21:27:09,25.00%,25.00%,50.00%,75.00%,25.00%
旧金山联合广场,qwen,8,33.33%,2025-12-17 21:30:06,25.00%,25.00%,50.00%,25.00%,50.00%
旧金山联合广场,openai,14,58.33%,2025-12-17 21:33:59,50.00%,25.00%,75.00%,75.00%,75.00%
旧金山联合广场,deepseek,12,50.00%,2025-12-17 21:40:33,37.50%,50.00%,100.00%,50.00%,25.00%
旧金山联合广场,claude,8,33.33%,2025-12-17 21:44:52,25.00%,0.00%,75.00%,25.00%,50.00%
旧金山联合广场,gemini,12,50.00%,2025-12-17 21:49:29,25.00%,25.00%,100.00%,50.00%,75.00%
旧金山联合广场,zhipu,12,50.00%,2025-12-17 21:53:22,25.00%,50.00%,75.00%,50.00%,75.00%
柏林勃兰登堡门,qwen,10,41.67%,2025-12-17 21:57:19,37.50%,25.00%,75.00%,0.00%,75.00%
柏林勃兰登堡门,openai,16,66.67%,2025-12-17 22:01:29,75.00%,50.00%,100.00%,25.00%,75.00%
柏林勃兰登堡门,deepseek,15,62.50%,2025-12-17 22:08:11,87.50%,100.00%,50.00%,25.00%,25.00%
柏林勃兰登堡门,claude,8,33.33%,2025-12-17 22:11:26,25.00%,25.00%,75.00%,0.00%,50.00%
柏林勃兰登堡门,gemini,8,33.33%,2025-12-17 22:16:03,12.50%,25.00%,75.00%,25.00%,50.00%
柏林勃兰登堡门,zhipu,7,29.17%,2025-12-17 22:19:21,12.50%,25.00%,100.00%,0.00%,25.00%
武汉黄鹤楼,qwen,8,33.33%,2025-12-17 22:23:07,25.00%,25.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,openai,10,41.67%,2025-12-17 22:28:59,37.50%,50.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,deepseek,15,62.50%,2025-12-17 22:37:25,62.50%,75.00%,100.00%,25.00%,50.00%
武汉黄鹤楼,claude,7,29.17%,2025-12-17 22:43:01,12.50%,50.00%,50.00%,0.00%,50.00%
武汉黄鹤楼,gemini,7,29.17%,2025-12-17 22:50:47,25.00%,50.00%,25.00%,0.00%,50.00%
武汉黄鹤楼,zhipu,6,25.00%,2025-12-17 22:54:26,25.00%,0.00%,50.00%,0.00%,50.00%
洛杉矶好莱坞,qwen,10,41.67%,2025-12-17 22:57:13,37.50%,50.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,openai,11,45.83%,2025-12-17 23:01:21,37.50%,25.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,deepseek,9,37.50%,2025-12-17 23:09:16,25.00%,50.00%,25.00%,0.00%,100.00%
洛杉矶好莱坞,claude,8,33.33%,2025-12-17 23:12:42,25.00%,25.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,gemini,10,41.67%,2025-12-17 23:16:25,25.00%,50.00%,50.00%,0.00%,100.00%
洛杉矶好莱坞,zhipu,10,41.67%,2025-12-17 23:19:32,25.00%,50.00%,75.00%,0.00%,75.00%
纽约时代广场,qwen,11,45.83%,2025-12-17 23:23:25,50.00%,25.00%,50.00%,25.00%,75.00%
纽约时代广场,openai,13,54.17%,2025-12-17 23:27:38,37.50%,0.00%,75.00%,75.00%,100.00%
纽约时代广场,deepseek,14,58.33%,2025-12-17 23:33:56,37.50%,50.00%,75.00%,75.00%,75.00%
纽约时代广场,claude,10,41.67%,2025-12-17 23:37:36,37.50%,0.00%,75.00%,25.00%,75.00%
纽约时代广场,gemini,9,37.50%,2025-12-17 23:42:05,25.00%,25.00%,50.00%,25.00%,75.00%
纽约时代广场,zhipu,11,45.83%,2025-12-17 23:46:28,50.00%,25.00%,50.00%,25.00%,75.00%
维也纳美泉宫,qwen,12,50.00%,2025-12-18 00:18:42,50.00%,50.00%,50.00%,50.00%,50.00%
维也纳美泉宫,openai,18,75.00%,2025-12-18 00:50:49,100.00%,75.00%,50.00%,50.00%,75.00%
维也纳美泉宫,deepseek,14,58.33%,2025-12-18 01:01:22,87.50%,100.00%,25.00%,0.00%,50.00%
维也纳美泉宫,claude,10,41.67%,2025-12-18 01:41:57,37.50%,50.00%,75.00%,0.00%,50.00%
