区域,原始文件名,context_text字段字节大小
上海外滩,上海外滩_claude_context_report.txt,6685
上海外滩,上海外滩_claude_graph_report.txt,1843
上海外滩,上海外滩_claude_map_report.txt,2493
上海外滩,上海外滩_deepseek_context_report.txt,6919
上海外滩,上海外滩_deepseek_graph_report.txt,2004
上海外滩,上海外滩_deepseek_map_report.txt,2660
上海外滩,上海外滩_gemini_context_report.txt,6989
上海外滩,上海外滩_gemini_graph_report.txt,2074
上海外滩,上海外滩_gemini_map_report.txt,2628
上海外滩,上海外滩_openai_context_report.txt,6685
上海外滩,上海外滩_openai_graph_report.txt,1843
上海外滩,上海外滩_openai_map_report.txt,2493
上海外滩,上海外滩_qwen_context_report.txt,7057
上海外滩,上海外滩_qwen_graph_report.txt,1843
上海外滩,上海外滩_qwen_map_report.txt,2626
伦敦大本钟,伦敦大本钟_claude_context_report.txt,10595
伦敦大本钟,伦敦大本钟_claude_graph_report.txt,2378
伦敦大本钟,伦敦大本钟_claude_map_report.txt,3819
伦敦大本钟,伦敦大本钟_deepseek_context_report.txt,10834
伦敦大本钟,伦敦大本钟_deepseek_graph_report.txt,2718
伦敦大本钟,伦敦大本钟_deepseek_map_report.txt,3773
伦敦大本钟,伦敦大本钟_gemini_context_report.txt,10814
伦敦大本钟,伦敦大本钟_gemini_graph_report.txt,2740
伦敦大本钟,伦敦大本钟_gemini_map_report.txt,3772
伦敦大本钟,伦敦大本钟_openai_context_report.txt,10195
伦敦大本钟,伦敦大本钟_openai_graph_report.txt,2378
伦敦大本钟,伦敦大本钟_openai_map_report.txt,3426
伦敦大本钟,伦敦大本钟_qwen_context_report.txt,10524
伦敦大本钟,伦敦大本钟_qwen_graph_report.txt,2532
伦敦大本钟,伦敦大本钟_qwen_map_report.txt,3597
北京天安门,北京天安门_claude_context_report.txt,18057
北京天安门,北京天安门_claude_graph_report.txt,4190
北京天安门,北京天安门_claude_map_report.txt,4693
北京天安门,北京天安门_deepseek_context_report.txt,17995
北京天安门,北京天安门_deepseek_graph_report.txt,4064
北京天安门,北京天安门_deepseek_map_report.txt,4751
北京天安门,北京天安门_gemini_context_report.txt,18007
北京天安门,北京天安门_gemini_graph_report.txt,4064
北京天安门,北京天安门_gemini_map_report.txt,4693
北京天安门,北京天安门_openai_context_report.txt,18007
北京天安门,北京天安门_openai_graph_report.txt,4064
北京天安门,北京天安门_openai_map_report.txt,4693
北京天安门,北京天安门_qwen_context_report.txt,17333
北京天安门,北京天安门_qwen_graph_report.txt,4146
北京天安门,北京天安门_qwen_map_report.txt,4751
多伦多CN塔,多伦多CN塔_claude_context_report.txt,12735
多伦多CN塔,多伦多CN塔_claude_graph_report.txt,4043
