区域,原始文件名,context_text字段字节大小
上海外滩,上海外滩_claude_context_report.txt,45634
上海外滩,上海外滩_claude_graph_report.txt,44198
上海外滩,上海外滩_claude_map_report.txt,48254
上海外滩,上海外滩_deepseek_context_report.txt,23557
上海外滩,上海外滩_deepseek_graph_report.txt,16259
上海外滩,上海外滩_deepseek_map_report.txt,19512
上海外滩,上海外滩_gemini_context_report.txt,57938
上海外滩,上海外滩_gemini_graph_report.txt,57209
上海外滩,上海外滩_gemini_map_report.txt,60062
上海外滩,上海外滩_openai_context_report.txt,35416
上海外滩,上海外滩_openai_graph_report.txt,33980
上海外滩,上海外滩_openai_map_report.txt,38036
上海外滩,上海外滩_qwen_context_report.txt,27631
上海外滩,上海外滩_qwen_graph_report.txt,23762
上海外滩,上海外滩_qwen_map_report.txt,29527
伦敦大本钟,伦敦大本钟_claude_context_report.txt,48786
伦敦大本钟,伦敦大本钟_claude_graph_report.txt,43023
伦敦大本钟,伦敦大本钟_claude_map_report.txt,52763
伦敦大本钟,伦敦大本钟_deepseek_context_report.txt,37036
伦敦大本钟,伦敦大本钟_deepseek_graph_report.txt,29933
伦敦大本钟,伦敦大本钟_deepseek_map_report.txt,31941
伦敦大本钟,伦敦大本钟_gemini_context_report.txt,64875
伦敦大本钟,伦敦大本钟_gemini_graph_report.txt,61049
伦敦大本钟,伦敦大本钟_gemini_map_report.txt,66826
伦敦大本钟,伦敦大本钟_openai_context_report.txt,32146
伦敦大本钟,伦敦大本钟_openai_graph_report.txt,29003
伦敦大本钟,伦敦大本钟_openai_map_report.txt,34725
伦敦大本钟,伦敦大本钟_qwen_context_report.txt,85186
伦敦大本钟,伦敦大本钟_qwen_graph_report.txt,81365
伦敦大本钟,伦敦大本钟_qwen_map_report.txt,88029
北京天安门,北京天安门_claude_context_report.txt,67092
北京天安门,北京天安门_claude_graph_report.txt,53923
北京天安门,北京天安门_claude_map_report.txt,51538
北京天安门,北京天安门_deepseek_context_report.txt,61589
北京天安门,北京天安门_deepseek_graph_report.txt,44155
北京天安门,北京天安门_deepseek_map_report.txt,46600
北京天安门,北京天安门_gemini_context_report.txt,56429
北京天安门,北京天安门_gemini_graph_report.txt,25654
北京天安门,北京天安门_gemini_map_report.txt,42673
北京天安门,北京天安门_openai_context_report.txt,59060
北京天安门,北京天安门_openai_graph_report.txt,43680
北京天安门,北京天安门_openai_map_report.txt,45488
北京天安门,北京天安门_qwen_context_report.txt,57120
北京天安门,北京天安门_qwen_graph_report.txt,51136
北京天安门,北京天安门_qwen_map_report.txt,46619
多伦多CN塔,多伦多CN塔_claude_context_report.txt,35740
多伦多CN塔,多伦多CN塔_claude_graph_report.txt,23810
多伦多CN塔,多伦多CN塔_claude_map_report.txt,28774
多伦多CN塔,多伦多CN塔_deepseek_context_report.txt,38680
多伦多CN塔,多伦多CN塔_deepseek_graph_report.txt,30050
多伦多CN塔,多伦多CN塔_deepseek_map_report.txt,29357
多伦多CN塔,多伦多CN塔_gemini_context_report.txt,33487
多伦多CN塔,多伦多CN塔_gemini_graph_report.txt,24109
多伦多CN塔,多伦多CN塔_gemini_map_report.txt,23137
多伦多CN塔,多伦多CN塔_openai_context_report.txt,31109
多伦多CN塔,多伦多CN塔_openai_graph_report.txt,22616
多伦多CN塔,多伦多CN塔_openai_map_report.txt,23171
多伦多CN塔,多伦多CN塔_qwen_context_report.txt,37259
多伦多CN塔,多伦多CN塔_qwen_graph_report.txt,26545
多伦多CN塔,多伦多CN塔_qwen_map_report.txt,28142
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_claude_context_report.txt,34161
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_claude_graph_report.txt,27024
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_claude_map_report.txt,28207
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_deepseek_context_report.txt,33666
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_deepseek_graph_report.txt,29881
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_deepseek_map_report.txt,31169
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_gemini_context_report.txt,31332
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_gemini_graph_report.txt,18628
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_gemini_map_report.txt,20181
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_openai_context_report.txt,27990
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_openai_graph_report.txt,20962
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_openai_map_report.txt,22565
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_qwen_context_report.txt,31892
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_qwen_graph_report.txt,27817
巴黎埃菲尔铁塔,巴黎埃菲尔铁塔_qwen_map_report.txt,27554
广州塔,广州塔_claude_context_report.txt,12100
广州塔,广州塔_claude_graph_report.txt,12341
广州塔,广州塔_claude_map_report.txt,9715
广州塔,广州塔_deepseek_context_report.txt,12335
广州塔,广州塔_deepseek_graph_report.txt,9143
广州塔,广州塔_deepseek_map_report.txt,10475
广州塔,广州塔_gemini_context_report.txt,11146
广州塔,广州塔_gemini_graph_report.txt,8458
广州塔,广州塔_gemini_map_report.txt,8983
广州塔,广州塔_openai_context_report.txt,13688
广州塔,广州塔_openai_graph_report.txt,9765
广州塔,广州塔_openai_map_report.txt,11394
广州塔,广州塔_qwen_context_report.txt,11612
广州塔,广州塔_qwen_graph_report.txt,8819
广州塔,广州塔_qwen_map_report.txt,8721
旧金山联合广场,旧金山联合广场_claude_context_report.txt,32876
旧金山联合广场,旧金山联合广场_claude_graph_report.txt,26505
旧金山联合广场,旧金山联合广场_claude_map_report.txt,28425
旧金山联合广场,旧金山联合广场_deepseek_context_report.txt,37353
旧金山联合广场,旧金山联合广场_deepseek_graph_report.txt,28836
旧金山联合广场,旧金山联合广场_deepseek_map_report.txt,27413
旧金山联合广场,旧金山联合广场_gemini_context_report.txt,27231
旧金山联合广场,旧金山联合广场_gemini_graph_report.txt,18806
旧金山联合广场,旧金山联合广场_gemini_map_report.txt,23982
旧金山联合广场,旧金山联合广场_openai_context_report.txt,29031
旧金山联合广场,旧金山联合广场_openai_graph_report.txt,21657
旧金山联合广场,旧金山联合广场_openai_map_report.txt,22577
旧金山联合广场,旧金山联合广场_qwen_context_report.txt,32846
旧金山联合广场,旧金山联合广场_qwen_graph_report.txt,26303
旧金山联合广场,旧金山联合广场_qwen_map_report.txt,18968
柏林勃兰登堡门,柏林勃兰登堡门_claude_context_report.txt,35036
柏林勃兰登堡门,柏林勃兰登堡门_claude_graph_report.txt,25564
柏林勃兰登堡门,柏林勃兰登堡门_claude_map_report.txt,26038
柏林勃兰登堡门,柏林勃兰登堡门_deepseek_context_report.txt,39277
柏林勃兰登堡门,柏林勃兰登堡门_deepseek_graph_report.txt,30977
柏林勃兰登堡门,柏林勃兰登堡门_deepseek_map_report.txt,30861
柏林勃兰登堡门,柏林勃兰登堡门_gemini_context_report.txt,27816
柏林勃兰登堡门,柏林勃兰登堡门_gemini_graph_report.txt,19758
柏林勃兰登堡门,柏林勃兰登堡门_gemini_map_report.txt,24836
柏林勃兰登堡门,柏林勃兰登堡门_openai_context_report.txt,31085
柏林勃兰登堡门,柏林勃兰登堡门_openai_graph_report.txt,22374
柏林勃兰登堡门,柏林勃兰登堡门_openai_map_report.txt,23958
柏林勃兰登堡门,柏林勃兰登堡门_qwen_context_report.txt,35383
柏林勃兰登堡门,柏林勃兰登堡门_qwen_graph_report.txt,27084
柏林勃兰登堡门,柏林勃兰登堡门_qwen_map_report.txt,28729
武汉黄鹤楼,武汉黄鹤楼_claude_context_report.txt,66773
武汉黄鹤楼,武汉黄鹤楼_claude_graph_report.txt,49919
武汉黄鹤楼,武汉黄鹤楼_claude_map_report.txt,53282
武汉黄鹤楼,武汉黄鹤楼_deepseek_context_report.txt,59236
武汉黄鹤楼,武汉黄鹤楼_deepseek_graph_report.txt,46085
武汉黄鹤楼,武汉黄鹤楼_deepseek_map_report.txt,41764
武汉黄鹤楼,武汉黄鹤楼_gemini_context_report.txt,54015
武汉黄鹤楼,武汉黄鹤楼_gemini_graph_report.txt,41756
武汉黄鹤楼,武汉黄鹤楼_gemini_map_report.txt,39826
武汉黄鹤楼,武汉黄鹤楼_openai_context_report.txt,55103
武汉黄鹤楼,武汉黄鹤楼_openai_graph_report.txt,41917
武汉黄鹤楼,武汉黄鹤楼_openai_map_report.txt,41999
武汉黄鹤楼,武汉黄鹤楼_qwen_context_report.txt,56144
武汉黄鹤楼,武汉黄鹤楼_qwen_graph_report.txt,42019
武汉黄鹤楼,武汉黄鹤楼_qwen_map_report.txt,42808
洛杉矶好莱坞,洛杉矶好莱坞_claude_context_report.txt,32513
洛杉矶好莱坞,洛杉矶好莱坞_claude_graph_report.txt,21942
洛杉矶好莱坞,洛杉矶好莱坞_claude_map_report.txt,25089
洛杉矶好莱坞,洛杉矶好莱坞_deepseek_context_report.txt,37378
洛杉矶好莱坞,洛杉矶好莱坞_deepseek_graph_report.txt,29631
洛杉矶好莱坞,洛杉矶好莱坞_deepseek_map_report.txt,30573
洛杉矶好莱坞,洛杉矶好莱坞_gemini_context_report.txt,26585
洛杉矶好莱坞,洛杉矶好莱坞_gemini_graph_report.txt,17294
洛杉矶好莱坞,洛杉矶好莱坞_gemini_map_report.txt,20063
洛杉矶好莱坞,洛杉矶好莱坞_openai_context_report.txt,29182
洛杉矶好莱坞,洛杉矶好莱坞_openai_graph_report.txt,231
洛杉矶好莱坞,洛杉矶好莱坞_openai_map_report.txt,22339
洛杉矶好莱坞,洛杉矶好莱坞_qwen_context_report.txt,32614
洛杉矶好莱坞,洛杉矶好莱坞_qwen_graph_report.txt,23071
洛杉矶好莱坞,洛杉矶好莱坞_qwen_map_report.txt,23030
纽约时代广场,纽约时代广场_claude_context_report.txt,30863
纽约时代广场,纽约时代广场_claude_graph_report.txt,28467
纽约时代广场,纽约时代广场_claude_map_report.txt,27905
纽约时代广场,纽约时代广场_deepseek_context_report.txt,33088
纽约时代广场,纽约时代广场_deepseek_graph_report.txt,27951
纽约时代广场,纽约时代广场_deepseek_map_report.txt,26170
纽约时代广场,纽约时代广场_gemini_context_report.txt,29252
