Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,claude,context,CoT,17,70.83%,2025-12-26T10:59:01.916635,100.00%,50.00%,50.00%,25.00%,100.00%
上海外滩,claude,context,Self-Consistency,17,70.83%,2025-12-26T11:03:59.612643,100.00%,50.00%,50.00%,25.00%,100.00%
上海外滩,claude,context,ToT,18,75.00%,2025-12-26T11:16:02.682163,100.00%,75.00%,50.00%,25.00%,100.00%
上海外滩,deepseek,context,CoT,13,54.17%,2025-12-26T11:17:03.014557,50.00%,50.00%,100.00%,25.00%,50.00%
上海外滩,deepseek,context,Self-Consistency,14,58.33%,2025-12-26T11:19:22.612437,50.00%,50.00%,100.00%,25.00%,75.00%
上海外滩,deepseek,context,ToT,17,70.83%,2025-12-26T11:29:36.395161,87.50%,75.00%,100.00%,25.00%,50.00%
上海外滩,gemini,context,CoT,19,79.17%,2025-12-26T11:38:02.604794,100.00%,75.00%,75.00%,25.00%,100.00%
上海外滩,gemini,context,Self-Consistency,19,79.17%,2025-12-26T11:53:11.359826,100.00%,75.00%,75.00%,25.00%,100.00%
上海外滩,gemini,context,ToT,18,75.00%,2025-12-26T12:22:49.075507,87.50%,75.00%,75.00%,25.00%,100.00%
上海外滩,openai,context,CoT,17,70.83%,2025-12-26T12:23:58.075022,75.00%,75.00%,100.00%,25.00%,75.00%
上海外滩,openai,context,Self-Consistency,16,66.67%,2025-12-26T12:26:30.643513,62.50%,75.00%,100.00%,25.00%,75.00%
上海外滩,openai,context,ToT,20,83.33%,2025-12-26T12:33:48.549050,100.00%,100.00%,75.00%,25.00%,100.00%
上海外滩,qwen,context,CoT,14,58.33%,2025-12-26T12:40:31.098470,75.00%,25.00%,50.00%,75.00%,50.00%
上海外滩,qwen,context,Self-Consistency,14,58.33%,2025-12-26T13:09:44.281908,62.50%,50.00%,50.00%,25.00%,100.00%
上海外滩,qwen,context,ToT,17,70.83%,2025-12-26T13:31:49.789930,75.00%,75.00%,75.00%,25.00%,100.00%
伦敦大本钟,claude,context,CoT,20,83.33%,2025-12-26T13:35:11.953936,100.00%,100.00%,100.00%,25.00%,75.00%
伦敦大本钟,claude,context,Self-Consistency,21,87.50%,2025-12-26T13:42:51.989045,100.00%,100.00%,100.00%,50.00%,75.00%
伦敦大本钟,claude,context,ToT,20,83.33%,2025-12-26T13:54:10.571939,100.00%,100.00%,100.00%,25.00%,75.00%
伦敦大本钟,deepseek,context,CoT,17,70.83%,2025-12-26T13:55:10.073331,87.50%,50.00%,100.00%,25.00%,75.00%
伦敦大本钟,deepseek,context,Self-Consistency,15,62.50%,2025-12-26T13:57:32.310007,62.50%,50.00%,100.00%,25.00%,75.00%
伦敦大本钟,deepseek,context,ToT,18,75.00%,2025-12-26T14:07:13.655602,62.50%,100.00%,100.00%,25.00%,100.00%
伦敦大本钟,gemini,context,CoT,19,79.17%,2025-12-26T14:17:47.830812,100.00%,100.00%,100.00%,25.00%,50.00%
伦敦大本钟,gemini,context,Self-Consistency,22,91.67%,2025-12-26T14:32:38.550323,100.00%,100.00%,100.00%,50.00%,100.00%
