Region,Model,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划

上海外滩,qwen,6,25.00%,2025-12-18 16:49:49,37.50%,0.00%,0.00%,25.00%,50.00%
上海外滩,openai,15,62.50%,2025-12-18 16:53:30,62.50%,50.00%,50.00%,75.00%,75.00%
上海外滩,deepseek,15,62.50%,2025-12-18 16:59:35,75.00%,25.00%,75.00%,50.00%,75.00%
上海外滩,claude,9,37.50%,2025-12-18 17:01:41,25.00%,50.00%,25.00%,0.00%,100.00%
上海外滩,gemini,9,37.50%,2025-12-18 17:04:09,37.50%,25.00%,50.00%,0.00%,75.00%
上海外滩,zhipu,8,33.33%,2025-12-18 17:06:41,25.00%,25.00%,50.00%,25.00%,50.00%
伦敦大本钟,qwen,6,25.00%,2025-12-18 17:10:08,25.00%,50.00%,0.00%,0.00%,50.00%
伦敦大本钟,openai,13,54.17%,2025-12-18 17:13:36,50.00%,50.00%,25.00%,50.00%,100.00%
伦敦大本钟,deepseek,15,62.50%,2025-12-18 17:20:14,62.50%,75.00%,75.00%,25.00%,75.00%
伦敦大本钟,claude,5,20.83%,2025-12-18 17:23:38,12.50%,25.00%,25.00%,0.00%,50.00%
伦敦大本钟,gemini,8,33.33%,2025-12-18 17:26:23,25.00%,25.00%,50.00%,25.00%,50.00%
伦敦大本钟,zhipu,7,29.17%,2025-12-18 17:30:35,25.00%,25.00%,50.00%,0.00%,50.00%
北京天安门,qwen,10,41.67%,2025-12-18 17:34:46,25.00%,25.00%,75.00%,0.00%,100.00%
北京天安门,openai,11,45.83%,2025-12-18 17:39:49,37.50%,0.00%,75.00%,25.00%,100.00%
北京天安门,deepseek,14,58.33%,2025-12-18 17:51:51,37.50%,50.00%,100.00%,50.00%,75.00%
北京天安门,claude,8,33.33%,2025-12-18 17:55:53,25.00%,25.00%,75.00%,0.00%,50.00%
北京天安门,gemini,12,50.00%,2025-12-18 18:00:08,25.00%,75.00%,75.00%,0.00%,100.00%
北京天安门,zhipu,9,37.50%,2025-12-18 18:03:33,25.00%,50.00%,25.00%,0.00%,100.00%
多伦多CN塔,qwen,13,54.17%,2025-12-18 18:08:13,37.50%,75.00%,75.00%,50.00%,50.00%
多伦多CN塔,openai,15,62.50%,2025-12-18 18:11:32,62.50%,25.00%,100.00%,75.00%,50.00%
多伦多CN塔,deepseek,14,58.33%,2025-12-18 18:20:55,75.00%,25.00%,100.00%,25.00%,50.00%
多伦多CN塔,claude,14,58.33%,2025-12-18 18:24:31,25.00%,75.00%,100.00%,75.00%,50.00%
多伦多CN塔,gemini,11,45.83%,2025-12-18 18:28:12,25.00%,50.00%,75.00%,50.00%,50.00%
多伦多CN塔,zhipu,9,37.50%,2025-12-18 18:32:54,25.00%,25.00%,50.00%,50.00%,50.00%
巴黎埃菲尔铁塔,qwen,10,41.67%,2025-12-18 18:36:08,25.00%,50.00%,75.00%,25.00%,50.00%
巴黎埃菲尔铁塔,openai,16,66.67%,2025-12-18 18:39:12,50.00%,50.00%,100.00%,75.00%,75.00%
巴黎埃菲尔铁塔,deepseek,13,54.17%,2025-12-18 18:45:31,37.50%,50.00%,100.00%,25.00%,75.00%
巴黎埃菲尔铁塔,claude,12,50.00%,2025-12-18 18:48:58,37.50%,25.00%,100.00%,50.00%,50.00%
巴黎埃菲尔铁塔,gemini,11,45.83%,2025-12-18 18:52:06,37.50%,25.00%,75.00%,50.00%,50.00%
巴黎埃菲尔铁塔,zhipu,12,50.00%,2025-12-18 18:56:21,50.00%,50.00%,50.00%,50.00%,50.00%
广州塔,qwen,8,33.33%,2025-12-18 18:58:25,0.00%,25.00%,50.00%,50.00%,75.00%
广州塔,openai,16,66.67%,2025-12-18 19:01:34,62.50%,100.00%,75.00%,25.00%,75.00%
广州塔,deepseek,14,58.33%,2025-12-18 19:05:17,50.00%,100.00%,50.00%,25.00%,75.00%
广州塔,claude,8,33.33%,2025-12-18 19:07:24,37.50%,25.00%,50.00%,0.00%,50.00%
广州塔,gemini,8,33.33%,2025-12-18 19:09:16,12.50%,25.00%,50.00%,75.00%,25.00%
广州塔,zhipu,8,33.33%,2025-12-18 19:10:57,37.50%,25.00%,50.00%,0.00%,50.00%
旧金山联合广场,qwen,10,41.67%,2025-12-18 19:16:51,25.00%,25.00%,50.00%,50.00%,75.00%
旧金山联合广场,openai,14,58.33%,2025-12-18 19:20:29,37.50%,50.00%,75.00%,75.00%,75.00%
旧金山联合广场,deepseek,13,54.17%,2025-12-18 19:28:12,50.00%,75.00%,100.00%,0.00%,50.00%
旧金山联合广场,claude,9,37.50%,2025-12-18 19:31:56,25.00%,25.00%,75.00%,25.00%,50.00%
旧金山联合广场,gemini,8,33.33%,2025-12-18 19:35:44,25.00%,25.00%,50.00%,25.00%,50.00%
旧金山联合广场,zhipu,9,37.50%,2025-12-18 19:39:28,12.50%,25.00%,75.00%,50.00%,50.00%
柏林勃兰登堡门,qwen,3,12.50%,2025-12-18 19:46:09,12.50%,0.00%,0.00%,25.00%,25.00%
柏林勃兰登堡门,openai,15,62.50%,2025-12-18 19:50:18,75.00%,75.00%,100.00%,0.00%,50.00%
柏林勃兰登堡门,deepseek,19,79.17%,2025-12-18 19:59:29,87.50%,75.00%,100.00%,75.00%,50.00%
柏林勃兰登堡门,claude,8,33.33%,2025-12-18 20:03:15,12.50%,25.00%,75.00%,25.00%,50.00%
柏林勃兰登堡门,gemini,10,41.67%,2025-12-18 20:06:34,37.50%,50.00%,75.00%,25.00%,25.00%
柏林勃兰登堡门,zhipu,8,33.33%,2025-12-18 20:09:52,37.50%,25.00%,75.00%,0.00%,25.00%
武汉黄鹤楼,qwen,9,37.50%,2025-12-18 20:14:10,37.50%,25.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,openai,11,45.83%,2025-12-18 20:18:30,50.00%,50.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,deepseek,12,50.00%,2025-12-18 20:28:49,37.50%,75.00%,50.00%,25.00%,75.00%
武汉黄鹤楼,claude,7,29.17%,2025-12-18 20:33:30,12.50%,75.00%,25.00%,0.00%,50.00%
武汉黄鹤楼,gemini,8,33.33%,2025-12-18 20:38:29,12.50%,75.00%,50.00%,0.00%,50.00%
武汉黄鹤楼,zhipu,9,37.50%,2025-12-18 20:42:12,25.00%,50.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,qwen,11,45.83%,2025-12-18 21:48:38,37.50%,50.00%,50.00%,25.00%,75.00%
洛杉矶好莱坞,openai,9,37.50%,2025-12-18 21:52:42,12.50%,25.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,deepseek,15,62.50%,2025-12-18 21:59:21,62.50%,50.00%,100.00%,0.00%,100.00%
洛杉矶好莱坞,claude,9,37.50%,2025-12-18 22:03:05,12.50%,50.00%,25.00%,25.00%,100.00%
洛杉矶好莱坞,gemini,10,41.67%,2025-12-18 22:06:40,25.00%,25.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,zhipu,11,45.83%,2025-12-18 22:37:15,37.50%,50.00%,50.00%,0.00%,100.00%
纽约时代广场,qwen,7,29.17%,2025-12-18 22:40:38,25.00%,25.00%,50.00%,0.00%,50.00%
纽约时代广场,openai,15,62.50%,2025-12-18 22:44:32,37.50%,50.00%,100.00%,75.00%,75.00%
纽约时代广场,deepseek,12,50.00%,2025-12-18 22:51:37,37.50%,0.00%,75.00%,50.00%,100.00%
纽约时代广场,claude,7,29.17%,2025-12-18 22:55:01,12.50%,25.00%,75.00%,0.00%,50.00%
纽约时代广场,gemini,12,50.00%,2025-12-18 22:58:08,50.00%,50.00%,75.00%,25.00%,50.00%
纽约时代广场,zhipu,10,41.67%,2025-12-18 23:02:04,37.50%,0.00%,75.00%,25.00%,75.00%
维也纳美泉宫,qwen,9,37.50%,2025-12-18 23:08:09,50.00%,25.00%,50.00%,0.00%,50.00%
维也纳美泉宫,openai,17,70.83%,2025-12-18 23:13:31,75.00%,100.00%,50.00%,50.00%,75.00%
维也纳美泉宫,deepseek,15,62.50%,2025-12-18 23:24:26,87.50%,50.00%,75.00%,0.00%,75.00%
维也纳美泉宫,claude,13,54.17%,2025-12-18 23:31:12,50.00%,75.00%,75.00%,25.00%,50.00%
维也纳美泉宫,gemini,9,37.50%,2025-12-18 23:40:40,25.00%,75.00%,50.00%,0.00%,50.00%
维也纳美泉宫,zhipu,9,37.50%,2025-12-19 00:11:48,50.00%,25.00%,0.00%,50.00%,50.00%
罗马斗兽场,qwen,13,54.17%,2025-12-19 00:22:21,37.50%,25.00%,75.00%,50.00%,100.00%
罗马斗兽场,openai,17,70.83%,2025-12-19 00:26:25,62.50%,50.00%,100.00%,75.00%,75.00%
罗马斗兽场,deepseek,18,75.00%,2025-12-19 00:32:45,75.00%,75.00%,100.00%,50.00%,75.00%
罗马斗兽场,claude,13,54.17%,2025-12-19 00:36:41,25.00%,75.00%,75.00%,25.00%,100.00%
罗马斗兽场,gemini,17,70.83%,2025-12-19 00:39:50,37.50%,75.00%,100.00%,75.00%,100.00%
罗马斗兽场,zhipu,15,62.50%,2025-12-19 00:45:28,50.00%,50.00%,100.00%,25.00%,100.00%
芝加哥千禧公园,qwen,9,37.50%,2025-12-19 00:51:11,37.50%,50.00%,75.00%,0.00%,25.00%
芝加哥千禧公园,openai,13,54.17%,2025-12-19 00:54:54,37.50%,75.00%,75.00%,75.00%,25.00%
芝加哥千禧公园,deepseek,12,50.00%,2025-12-19 01:00:28,50.00%,75.00%,75.00%,0.00%,50.00%
芝加哥千禧公园,claude,7,29.17%,2025-12-19 01:04:26,37.50%,25.00%,50.00%,0.00%,25.00%
芝加哥千禧公园,gemini,5,20.83%,2025-12-19 01:08:26,25.00%,25.00%,50.00%,0.00%,0.00%
芝加哥千禧公园,zhipu,4,16.67%,2025-12-19 01:14:28,25.00%,0.00%,25.00%,0.00%,25.00%
长沙五一广场,qwen,11,45.83%,2025-12-19 01:17:05,25.00%,50.00%,25.00%,75.00%,75.00%
长沙五一广场,openai,13,54.17%,2025-12-19 01:20:53,50.00%,50.00%,75.00%,50.00%,50.00%
长沙五一广场,deepseek,13,54.17%,2025-12-19 01:26:07,62.50%,50.00%,50.00%,25.00%,75.00%
长沙五一广场,claude,11,45.83%,2025-12-19 01:28:56,50.00%,75.00%,25.00%,25.00%,50.00%
长沙五一广场,gemini,12,50.00%,2025-12-19 01:32:31,50.00%,50.00%,75.00%,0.00%,75.00%
长沙五一广场,zhipu,13,54.17%,2025-12-19 01:35:23,50.00%,75.00%,50.00%,25.00%,75.00%
