Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,qwen,context,Direct,12,50.00%,2025-12-19 19:33:05,37.50%,50.00%,75.00%,25.00%,75.00%
上海外滩,qwen,graph,Direct,8,33.33%,2025-12-19 19:36:23,37.50%,50.00%,50.00%,0.00%,25.00%
上海外滩,qwen,map,Direct,11,45.83%,2025-12-19 19:40:04,25.00%,50.00%,75.00%,25.00%,75.00%
上海外滩,openai,context,Direct,15,62.50%,2025-12-19 19:43:28,50.00%,75.00%,100.00%,0.00%,100.00%
上海外滩,openai,graph,Direct,10,41.67%,2025-12-19 19:47:05,37.50%,75.00%,75.00%,25.00%,0.00%
上海外滩,openai,map,Direct,14,58.33%,2025-12-19 19:50:38,50.00%,75.00%,75.00%,25.00%,75.00%
上海外滩,claude,context,Direct,13,54.17%,2025-12-19 19:53:15,50.00%,75.00%,75.00%,0.00%,75.00%
上海外滩,claude,graph,Direct,8,33.33%,2025-12-19 19:55:49,25.00%,75.00%,50.00%,0.00%,25.00%
上海外滩,claude,map,Direct,11,45.83%,2025-12-19 19:58:33,25.00%,50.00%,75.00%,25.00%,75.00%
上海外滩,gemini,context,Direct,12,50.00%,2025-12-19 20:01:33,25.00%,75.00%,100.00%,25.00%,50.00%
上海外滩,gemini,graph,Direct,9,37.50%,2025-12-19 20:04:33,37.50%,75.00%,50.00%,0.00%,25.00%
上海外滩,gemini,map,Direct,12,50.00%,2025-12-19 20:08:05,37.50%,75.00%,50.00%,25.00%,75.00%
上海外滩,zhipu,context,Direct,13,54.17%,2025-12-19 20:11:24,37.50%,75.00%,75.00%,0.00%,100.00%
上海外滩,zhipu,graph,Direct,8,33.33%,2025-12-19 20:15:40,25.00%,75.00%,50.00%,0.00%,25.00%
上海外滩,zhipu,map,Direct,12,50.00%,2025-12-19 20:19:43,37.50%,75.00%,50.00%,25.00%,75.00%
伦敦大本钟,qwen,context,Direct,8,33.33%,2025-12-19 20:23:49,12.50%,0.00%,75.00%,50.00%,50.00%
伦敦大本钟,qwen,graph,Direct,5,20.83%,2025-12-19 20:27:31,25.00%,0.00%,50.00%,0.00%,25.00%
伦敦大本钟,qwen,map,Direct,7,29.17%,2025-12-19 20:31:26,25.00%,75.00%,25.00%,0.00%,25.00%
伦敦大本钟,openai,context,Direct,18,75.00%,2025-12-20 13:01:25,75.00%,100.00%,50.00%,50.00%,100.00%
伦敦大本钟,openai,graph,Direct,10,41.67%,2025-12-20 13:05:04,37.50%,50.00%,75.00%,25.00%,25.00%
伦敦大本钟,openai,map,Direct,13,54.17%,2025-12-20 13:08:36,25.00%,25.00%,75.00%,75.00%,100.00%
伦敦大本钟,claude,context,Direct,9,37.50%,2025-12-20 13:12:12,25.00%,50.00%,25.00%,0.00%,100.00%
伦敦大本钟,claude,graph,Direct,6,25.00%,2025-12-20 13:16:28,25.00%,0.00%,50.00%,0.00%,50.00%
伦敦大本钟,claude,map,Direct,11,45.83%,2025-12-20 13:20:01,37.50%,25.00%,75.00%,0.00%,100.00%
伦敦大本钟,gemini,context,Direct,9,37.50%,2025-12-20 13:24:34,25.00%,50.00%,50.00%,0.00%,75.00%
伦敦大本钟,gemini,graph,Direct,7,29.17%,2025-12-20 13:28:48,25.00%,0.00%,75.00%,0.00%,50.00%
伦敦大本钟,gemini,map,Direct,11,45.83%,2025-12-20 13:32:37,37.50%,50.00%,75.00%,0.00%,75.00%
伦敦大本钟,zhipu,context,Direct,7,29.17%,2025-12-20 13:36:40,25.00%,50.00%,25.00%,0.00%,50.00%
伦敦大本钟,zhipu,graph,Direct,5,20.83%,2025-12-20 13:41:45,25.00%,0.00%,50.00%,0.00%,25.00%
伦敦大本钟,zhipu,map,Direct,14,58.33%,2025-12-20 13:47:24,50.00%,75.00%,75.00%,0.00%,100.00%
