Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,claude,text,Direct,15,62.50%,2025-12-24T16:31:49.775193,62.50%,100.00%,50.00%,50.00%,50.00%
上海外滩,deepseek,text,Direct,12,50.00%,2025-12-24T16:33:01.921954,62.50%,25.00%,50.00%,50.00%,50.00%
上海外滩,gemini,text,Direct,21,87.50%,2025-12-24T16:42:18.055651,100.00%,100.00%,100.00%,50.00%,75.00%
上海外滩,openai,text,Direct,10,41.67%,2025-12-24T16:43:15.840880,62.50%,25.00%,50.00%,25.00%,25.00%
上海外滩,qwen,text,Direct,11,45.83%,2025-12-24T16:43:50.069656,50.00%,25.00%,75.00%,25.00%,50.00%
上海外滩,zhipu,text,Direct,18,75.00%,2025-12-24T17:20:18.077236,75.00%,50.00%,75.00%,100.00%,75.00%
伦敦大本钟,claude,text,Direct,13,54.17%,2025-12-24T17:22:52.361452,50.00%,75.00%,50.00%,25.00%,75.00%
伦敦大本钟,deepseek,text,Direct,14,58.33%,2025-12-24T17:23:53.259306,62.50%,75.00%,75.00%,0.00%,75.00%
伦敦大本钟,gemini,text,Direct,19,79.17%,2025-12-24T17:34:17.925552,100.00%,100.00%,100.00%,25.00%,50.00%
伦敦大本钟,openai,text,Direct,11,45.83%,2025-12-24T17:35:09.266240,37.50%,50.00%,50.00%,25.00%,75.00%
伦敦大本钟,qwen,text,Direct,15,62.50%,2025-12-24T17:35:47.886869,37.50%,50.00%,75.00%,75.00%,100.00%
