Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
纽约时代广场,claude,context,CoT,11,45.83%,2025-12-23 00:28:58,37.50%,25.00%,50.00%,25.00%,100.00%
纽约时代广场,claude,context,Self-Consistency,11,45.83%,2025-12-23 00:35:10,37.50%,25.00%,50.00%,25.00%,100.00%
纽约时代广场,claude,context,ToT,15,62.50%,2025-12-23 00:45:45,50.00%,75.00%,75.00%,25.00%,100.00%
纽约时代广场,deepseek,context,CoT,20,83.33%,2025-12-23 00:48:47,75.00%,75.00%,100.00%,75.00%,100.00%
纽约时代广场,deepseek,context,Self-Consistency,19,79.17%,2025-12-23 00:54:34,75.00%,75.00%,75.00%,75.00%,100.00%
纽约时代广场,deepseek,context,ToT,17,70.83%,2025-12-23 01:12:57,62.50%,75.00%,75.00%,50.00%,100.00%
纽约时代广场,gemini,context,CoT,11,45.83%,2025-12-23 01:14:59,25.00%,25.00%,75.00%,25.00%,100.00%
纽约时代广场,gemini,context,Self-Consistency,11,45.83%,2025-12-23 01:20:42,25.00%,25.00%,75.00%,25.00%,100.00%
纽约时代广场,gemini,context,ToT,15,62.50%,2025-12-23 01:28:55,50.00%,50.00%,100.00%,25.00%,100.00%
纽约时代广场,openai,context,CoT,9,37.50%,2025-12-23 01:34:15,25.00%,25.00%,25.00%,100.00%,25.00%
纽约时代广场,openai,context,Self-Consistency,9,37.50%,2025-12-23 01:42:34,25.00%,25.00%,25.00%,100.00%,25.00%
纽约时代广场,openai,context,ToT,9,37.50%,2025-12-23 01:53:50,25.00%,25.00%,25.00%,100.00%,25.00%
纽约时代广场,qwen,context,CoT,12,50.00%,2025-12-23 01:54:57,25.00%,25.00%,100.00%,25.00%,100.00%
纽约时代广场,qwen,context,Self-Consistency,10,41.67%,2025-12-23 02:02:53,25.00%,25.00%,75.00%,0.00%,100.00%
纽约时代广场,qwen,context,ToT,14,58.33%,2025-12-23 02:10:13,62.50%,25.00%,100.00%,50.00%,50.00%
纽约时代广场,zhipu,context,CoT,12,50.00%,2025-12-23 02:14:39,25.00%,25.00%,100.00%,25.00%,100.00%
纽约时代广场,zhipu,context,Self-Consistency,12,50.00%,2025-12-23 02:20:42,25.00%,25.00%,100.00%,25.00%,100.00%
纽约时代广场,zhipu,context,ToT,15,62.50%,2025-12-23 02:28:30,50.00%,50.00%,100.00%,25.00%,100.00%
维也纳美泉宫,claude,context,CoT,12,50.00%,2025-12-23 02:29:36,37.50%,75.00%,75.00%,50.00%,25.00%
维也纳美泉宫,claude,context,Self-Consistency,14,58.33%,2025-12-23 02:38:04,25.00%,100.00%,75.00%,50.00%,75.00%
维也纳美泉宫,claude,context,ToT,17,70.83%,2025-12-23 02:47:35,37.50%,100.00%,100.00%,50.00%,100.00%
维也纳美泉宫,deepseek,context,CoT,17,70.83%,2025-12-23 02:50:52,50.00%,100.00%,100.00%,25.00%,100.00%
维也纳美泉宫,deepseek,context,Self-Consistency,17,70.83%,2025-12-23 02:56:24,50.00%,100.00%,100.00%,25.00%,100.00%
维也纳美泉宫,deepseek,context,ToT,22,91.67%,2025-12-23 03:14:29,100.00%,100.00%,100.00%,50.00%,100.00%
维也纳美泉宫,gemini,context,CoT,17,70.83%,2025-12-23 03:15:51,50.00%,100.00%,75.00%,50.00%,100.00%
维也纳美泉宫,gemini,context,Self-Consistency,16,66.67%,2025-12-23 03:27:09,37.50%,100.00%,75.00%,50.00%,100.00%
维也纳美泉宫,gemini,context,ToT,15,62.50%,2025-12-23 03:36:05,25.00%,100.00%,100.00%,75.00%,50.00%
维也纳美泉宫,openai,context,CoT,8,33.33%,2025-12-23 03:41:00,25.00%,25.00%,0.00%,100.00%,25.00%
